target_col,target_label,feature,feature_label,spearman_corr,abs_corr
active_days_d4_28,active days d4 28,grade_active_users_d0_3,D0-D3 같은 학년 활동 유저 수,0.15924533519731623,0.15924533519731623
active_days_d4_28,active days d4 28,class_active_users_d0_3,D0-D3 같은 반 활동 유저 수,0.13871348765053557,0.13871348765053557
active_days_d4_28,active days d4 28,sent_vote_complete_count_d0_3,D0-D3 완료 발신 수,0.09666246448829834,0.09666246448829834
active_days_d4_28,active days d4 28,sent_vote_count_d0_3,D0-D3 발신 투표 수,0.09655178665605951,0.09655178665605951
active_days_d4_28,active days d4 28,sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수,0.09655140212798431,0.09655140212798431
active_days_d4_28,active days d4 28,sent_vote_complete_rate_d0_3,D0-D3 발신 완료율,0.09654705060119917,0.09654705060119917
active_days_d4_28,active days d4 28,sent_vote_active_days_d0_3,D0-D3 발신 활동일수,0.0965298100573886,0.0965298100573886
active_days_d4_28,active days d4 28,sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수,0.09652132920630416,0.09652132920630416
active_days_d4_28,active days d4 28,sent_vote_experience_d0_3,D0-D3 발신 경험 여부,0.09645114757645126,0.09645114757645126
active_days_d4_28,active days d4 28,point_use_after_received_vote_count_d0_3,수신 후 포인트 사용 횟수,0.09586578790988469,0.09586578790988469
active_days_d4_28,active days d4 28,point_use_after_received_vote_yn_d0_3,수신 후 포인트 사용 여부,0.09582670261532328,0.09582670261532328
active_days_d4_28,active days d4 28,received_vote_count_d0_3,D0-D3 수신 Ping 수,0.04652815250867472,0.04652815250867472
active_days_d4_28,active days d4 28,received_vote_days_d0_3,D0-D3 수신 발생일수,0.04632308035617885,0.04632308035617885
active_days_d4_28,active days d4 28,received_vote_yn_d0_3,D0-D3 수신 경험 여부,0.04586765419606291,0.04586765419606291
active_days_d4_28,active days d4 28,class_users_d0_3,D0-D3 같은 반 유저 수,0.03697971585266503,0.03697971585266503
active_days_d4_28,active days d4 28,grade_users_d0_3,D0-D3 같은 학년 유저 수,-0.03665103882538521,0.03665103882538521
active_days_d4_28,active days d4 28,friends_d3,D3 친구 수,-0.004469487704392914,0.004469487704392914
active_days_d4_28,active days d4 28,first_received_vote_day_d0_3,첫 수신 발생일,0.0027399934425242616,0.0027399934425242616
bought_hearts_d4_28,bought hearts d4 28,grade_active_users_d0_3,D0-D3 같은 학년 활동 유저 수,-0.055096065935521917,0.055096065935521917
bought_hearts_d4_28,bought hearts d4 28,grade_users_d0_3,D0-D3 같은 학년 유저 수,-0.03912300627222911,0.03912300627222911
bought_hearts_d4_28,bought hearts d4 28,class_active_users_d0_3,D0-D3 같은 반 활동 유저 수,-0.03620733596308687,0.03620733596308687
bought_hearts_d4_28,bought hearts d4 28,class_users_d0_3,D0-D3 같은 반 유저 수,-0.025563816239575026,0.025563816239575026
bought_hearts_d4_28,bought hearts d4 28,received_vote_days_d0_3,D0-D3 수신 발생일수,-0.004328785561571177,0.004328785561571177
bought_hearts_d4_28,bought hearts d4 28,received_vote_count_d0_3,D0-D3 수신 Ping 수,-0.0043203983718569285,0.0043203983718569285
bought_hearts_d4_28,bought hearts d4 28,received_vote_yn_d0_3,D0-D3 수신 경험 여부,-0.004303272066278155,0.004303272066278155
bought_hearts_d4_28,bought hearts d4 28,sent_vote_experience_d0_3,D0-D3 발신 경험 여부,-0.003926212647565662,0.003926212647565662
bought_hearts_d4_28,bought hearts d4 28,sent_vote_active_days_d0_3,D0-D3 발신 활동일수,-0.003923448640867483,0.003923448640867483
bought_hearts_d4_28,bought hearts d4 28,sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수,-0.003915465144357634,0.003915465144357634
bought_hearts_d4_28,bought hearts d4 28,sent_vote_count_d0_3,D0-D3 발신 투표 수,-0.003915031664811849,0.003915031664811849
bought_hearts_d4_28,bought hearts d4 28,sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수,-0.003914105343364221,0.003914105343364221
bought_hearts_d4_28,bought hearts d4 28,sent_vote_complete_rate_d0_3,D0-D3 발신 완료율,-0.003908342103752216,0.003908342103752216
bought_hearts_d4_28,bought hearts d4 28,sent_vote_complete_count_d0_3,D0-D3 완료 발신 수,-0.003894657951326436,0.003894657951326436
