top_k,top_k_rate,top_n,base_positive_rate,top_positive_rate,lift,captured_positive_count,capture_rate,target_name,target_col,population,feature_set,model_type
Top 1%,0.01,1946,0.016930596888347492,0.68448098663926,40.42863882196351,1332,0.40437158469945356,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,Baseline Logistic
Top 3%,0.03,5837,0.016930596888347492,0.2653760493404146,15.674346928846912,1549,0.4702489374620522,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,Baseline Logistic
Top 5%,0.05,9728,0.016930596888347492,0.17629523026315788,10.41281836817539,1715,0.5206435944140863,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,Baseline Logistic
Top 10%,0.1,19456,0.016930596888347492,0.10361842105263158,6.120187122519414,2016,0.6120218579234973,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,Baseline Logistic
Top 1%,0.01,1946,0.016930596888347492,0.7692702980472764,45.43669092828782,1497,0.4544626593806922,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
Top 3%,0.03,5837,0.016930596888347492,0.3179715607332534,18.780883085823028,1856,0.5634486945962356,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
Top 5%,0.05,9728,0.016930596888347492,0.21104029605263158,12.465023970766227,2053,0.6232544019429266,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
Top 10%,0.1,19456,0.016930596888347492,0.12027138157894737,7.103788624352891,2340,0.7103825136612022,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
Top 1%,0.01,33,0.40619307832422585,0.7878787878787878,1.9396657154504688,26,0.01943198804185351,churn,churn_d4_plus,관계 경험자,관계망 환경축,Baseline Logistic
Top 3%,0.03,99,0.40619307832422585,0.8080808080808081,1.9894007337953528,80,0.059790732436472344,churn,churn_d4_plus,관계 경험자,관계망 환경축,Baseline Logistic
Top 5%,0.05,165,0.40619307832422585,0.7636363636363637,1.8799836934366083,126,0.09417040358744394,churn,churn_d4_plus,관계 경험자,관계망 환경축,Baseline Logistic
