actual,predicted,count,target_name,population,feature_set,model_type
실제 0,예측 0,161981,relation_experience,전체 유저,관계망 환경축,Baseline Logistic
실제 0,예측 1,29284,relation_experience,전체 유저,관계망 환경축,Baseline Logistic
실제 1,예측 0,1027,relation_experience,전체 유저,관계망 환경축,Baseline Logistic
실제 1,예측 1,2267,relation_experience,전체 유저,관계망 환경축,Baseline Logistic
실제 0,예측 0,169269,relation_experience,전체 유저,관계망 환경축,LightGBM
실제 0,예측 1,21996,relation_experience,전체 유저,관계망 환경축,LightGBM
실제 1,예측 0,849,relation_experience,전체 유저,관계망 환경축,LightGBM
실제 1,예측 1,2445,relation_experience,전체 유저,관계망 환경축,LightGBM
실제 0,예측 0,1272,churn,관계 경험자,관계망 환경축,Baseline Logistic
실제 0,예측 1,684,churn,관계 경험자,관계망 환경축,Baseline Logistic
실제 1,예측 0,162,churn,관계 경험자,관계망 환경축,Baseline Logistic
실제 1,예측 1,1176,churn,관계 경험자,관계망 환경축,Baseline Logistic
실제 0,예측 0,1399,churn,관계 경험자,관계망 환경축,LightGBM
실제 0,예측 1,557,churn,관계 경험자,관계망 환경축,LightGBM
실제 1,예측 0,223,churn,관계 경험자,관계망 환경축,LightGBM
실제 1,예측 1,1115,churn,관계 경험자,관계망 환경축,LightGBM
실제 0,예측 0,1226,churn,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 0,예측 1,730,churn,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 1,예측 0,84,churn,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 1,예측 1,1254,churn,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 0,예측 0,1358,churn,관계 경험자,관계망 + 수신/발신축,LightGBM
실제 0,예측 1,598,churn,관계 경험자,관계망 + 수신/발신축,LightGBM
실제 1,예측 0,142,churn,관계 경험자,관계망 + 수신/발신축,LightGBM
실제 1,예측 1,1196,churn,관계 경험자,관계망 + 수신/발신축,LightGBM
실제 0,예측 0,1525,high_active,관계 경험자,관계망 환경축,Baseline Logistic
실제 0,예측 1,382,high_active,관계 경험자,관계망 환경축,Baseline Logistic
실제 1,예측 0,322,high_active,관계 경험자,관계망 환경축,Baseline Logistic
실제 1,예측 1,1065,high_active,관계 경험자,관계망 환경축,Baseline Logistic
실제 0,예측 0,1478,high_active,관계 경험자,관계망 환경축,LightGBM
실제 0,예측 1,429,high_active,관계 경험자,관계망 환경축,LightGBM
실제 1,예측 0,263,high_active,관계 경험자,관계망 환경축,LightGBM
실제 1,예측 1,1124,high_active,관계 경험자,관계망 환경축,LightGBM
실제 0,예측 0,1630,high_active,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 0,예측 1,277,high_active,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 1,예측 0,341,high_active,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 1,예측 1,1046,high_active,관계 경험자,관계망 + 수신/발신축,Baseline Logistic
실제 0,예측 0,1627,high_active,관계 경험자,관계망 + 수신/발신축,LightGBM
실제 0,예측 1,280,high_active,관계 경험자,관계망 + 수신/발신축,LightGBM
실제 1,예측 0,320,high_active,관계 경험자,관계망 + 수신/발신축,LightGBM
