column,missing_count,missing_rate,non_missing_count
first_received_vote_day_d0_3,1,1.5419510923952515e-06,648528
point_use_after_received_vote_count_d0_3,1,1.5419510923952515e-06,648528
point_use_after_received_vote_yn_d0_3,1,1.5419510923952515e-06,648528
received_vote_count_d0_3,1,1.5419510923952515e-06,648528
received_vote_days_d0_3,1,1.5419510923952515e-06,648528
received_vote_yn_d0_3,1,1.5419510923952515e-06,648528
active_days_d4_28,0,0.0,648529
bought_hearts_d4_28,0,0.0,648529
class_active_users_d0_3,0,0.0,648529
class_users_d0_3,0,0.0,648529
friends_d3,0,0.0,648529
grade_active_users_d0_3,0,0.0,648529
grade_users_d0_3,0,0.0,648529
paid_d4_28,0,0.0,648529
payment_count_d4_28,0,0.0,648529
returned_d4_28,0,0.0,648529
sent_vote_active_days_d0_3,0,0.0,648529
sent_vote_complete_count_d0_3,0,0.0,648529
sent_vote_complete_rate_d0_3,0,0.0,648529
sent_vote_count_d0_3,0,0.0,648529
sent_vote_distinct_chosen_users_d0_3,0,0.0,648529
sent_vote_distinct_questions_d0_3,0,0.0,648529
sent_vote_experience_d0_3,0,0.0,648529
user_id,0,0.0,648529
