column,dtype,nunique,sample_values
user_id,string,648529,"831962, 832151, 832340"
friends_d3,int64,337,"42, 43, 46"
class_users_d0_3,int64,79,"5, 3, 3"
grade_users_d0_3,int64,299,"5, 3, 3"
class_active_users_d0_3,int64,39,"0, 0, 0"
grade_active_users_d0_3,int64,218,"0, 0, 0"
returned_d4_28,int64,2,"0, 0, 0"
paid_d4_28,int64,2,"0, 0, 0"
payment_count_d4_28,int64,26,"0, 0, 0"
active_days_d4_28,int64,26,"0, 0, 0"
bought_hearts_d4_28,int64,178,"0, 0, 0"
received_vote_yn_d0_3,float64,2,"0.0, 0.0, 0.0"
received_vote_count_d0_3,float64,381,"0.0, 0.0, 0.0"
received_vote_days_d0_3,float64,5,"0.0, 0.0, 0.0"
first_received_vote_day_d0_3,float64,4,"0.0, 0.0, 0.0"
point_use_after_received_vote_yn_d0_3,float64,2,"0.0, 0.0, 0.0"
point_use_after_received_vote_count_d0_3,float64,94,"0.0, 0.0, 0.0"
sent_vote_experience_d0_3,bool,2,"False, False, False"
sent_vote_count_d0_3,float64,441,"0.0, 0.0, 0.0"
sent_vote_complete_count_d0_3,int64,426,"0, 0, 0"
sent_vote_active_days_d0_3,float64,5,"0.0, 0.0, 0.0"
sent_vote_distinct_chosen_users_d0_3,float64,97,"0.0, 0.0, 0.0"
sent_vote_distinct_questions_d0_3,float64,361,"0.0, 0.0, 0.0"
sent_vote_complete_rate_d0_3,float64,1634,"0.0, 0.0, 0.0"
