column,label,count,mean,std,min,1%,5%,50%,95%,99%,max
friends_d3,D3 친구 수,648529.0,43.52291416420854,26.94119706940652,0.0,4.0,9.0,39.0,92.0,127.0,977.0
class_users_d0_3,D0-D3 같은 반 유저 수,648529.0,10.313908861438733,5.580120001473326,0.0,0.0,1.0,10.0,19.0,24.0,78.0
grade_users_d0_3,D0-D3 같은 학년 유저 수,648529.0,84.17902206377818,46.760963592693706,0.0,3.0,14.0,80.0,169.0,206.0,311.0
class_active_users_d0_3,D0-D3 같은 반 활동 유저 수,648529.0,0.9886003555739219,2.3520065838165305,0.0,0.0,0.0,0.0,6.0,12.0,42.0
grade_active_users_d0_3,D0-D3 같은 학년 활동 유저 수,648529.0,7.204828157260508,18.187405656759147,0.0,0.0,0.0,1.0,33.0,83.0,228.0
received_vote_yn_d0_3,D0-D3 수신 경험 여부,648529.0,0.016859693244249678,0.12874575544896466,0.0,0.0,0.0,0.0,0.0,1.0,1.0
received_vote_count_d0_3,D0-D3 수신 Ping 수,648529.0,0.8272413415591284,11.047627451500032,0.0,0.0,0.0,0.0,0.0,9.0,678.0
received_vote_days_d0_3,D0-D3 수신 발생일수,648529.0,0.05008873928536735,0.4114816609606923,0.0,0.0,0.0,0.0,0.0,3.0,4.0
first_received_vote_day_d0_3,첫 수신 발생일,648529.0,0.010790573744581968,0.14516572572062234,0.0,0.0,0.0,0.0,0.0,0.0,3.0
point_use_after_received_vote_yn_d0_3,수신 후 포인트 사용 여부,648529.0,0.006402180935625084,0.07975714904374911,0.0,0.0,0.0,0.0,0.0,0.0,1.0
point_use_after_received_vote_count_d0_3,수신 후 포인트 사용 횟수,648529.0,0.06409428105759342,1.311705568671667,0.0,0.0,0.0,0.0,0.0,0.0,201.0
sent_vote_experience_d0_3,D0-D3 발신 경험 여부,648529.0,0.0071438594110672,0.08421897423103335,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sent_vote_count_d0_3,D0-D3 발신 투표 수,648529.0,0.9011300959556164,13.48381363187186,0.0,0.0,0.0,0.0,0.0,0.0,629.0
sent_vote_complete_count_d0_3,D0-D3 완료 발신 수,648529.0,0.8506497010927807,12.749450522466589,0.0,0.0,0.0,0.0,0.0,0.0,619.0
sent_vote_active_days_d0_3,D0-D3 발신 활동일수,648529.0,0.024204006297328263,0.2954828909209578,0.0,0.0,0.0,0.0,0.0,0.0,4.0
sent_vote_distinct_chosen_users_d0_3,D0-D3 선택 고유 유저 수,648529.0,0.1999925986347565,2.7359087843879197,0.0,0.0,0.0,0.0,0.0,0.0,125.0
sent_vote_distinct_questions_d0_3,D0-D3 고유 질문 수,648529.0,0.7725992206979179,11.183070703747997,0.0,0.0,0.0,0.0,0.0,0.0,519.0
sent_vote_complete_rate_d0_3,D0-D3 발신 완료율,648529.0,0.006726855660421449,0.07946157477230391,0.0,0.0,0.0,0.0,0.0,0.0,1.0
returned_d4_28,returned d4 28,648529.0,0.44028100516707813,0.4964212139358999,0.0,0.0,0.0,0.0,1.0,1.0,1.0
paid_d4_28,paid d4 28,648529.0,0.04319775985345297,0.2033021818088324,0.0,0.0,0.0,0.0,0.0,1.0,1.0
payment_count_d4_28,payment count d4 28,648529.0,0.06534171949134117,0.421185521041102,0.0,0.0,0.0,0.0,0.0,2.0,51.0
active_days_d4_28,active days d4 28,648529.0,2.1833456946412575,3.715117342959198,0.0,0.0,0.0,0.0,10.0,16.0,25.0
bought_hearts_d4_28,bought hearts d4 28,648529.0,51.90486624345249,410.3983928979478,0.0,0.0,0.0,0.0,0.0,1000.0,56000.0
