row_count,positive_count,positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,task,target_name,target_col,population,feature_set,feature_count,model_type,train_row_count,test_row_count
194559,3294,0.016930596888347492,0.5,0.8442066416870975,0.07185192228455517,0.688221007893139,0.13011909886640838,0.8335613291502103,0.448620421762278,classification,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,5,Baseline Logistic,453970,194559
194559,3294,0.016930596888347492,0.5,0.8825806053690655,0.10003682337056585,0.7422586520947176,0.1763115197404002,0.8950471052101567,0.5476964420975061,classification,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,5,LightGBM,453970,194559
3294,1338,0.40619307832422585,0.5,0.7431693989071039,0.632258064516129,0.8789237668161435,0.7354596622889306,0.808239986733549,0.6982855188783598,classification,churn,churn_d4_plus,관계 경험자,관계망 환경축,5,Baseline Logistic,7685,3294
3294,1338,0.40619307832422585,0.5,0.7632058287795993,0.6668660287081339,0.8333333333333334,0.7408637873754153,0.830238528646669,0.7222862025906542,classification,churn,churn_d4_plus,관계 경험자,관계망 환경축,5,LightGBM,7685,3294
3294,1338,0.40619307832422585,0.5,0.7528840315725561,0.6320564516129032,0.9372197309417041,0.7549668874172185,0.8164529973314258,0.6772197747274589,classification,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,18,Baseline Logistic,7685,3294
3294,1338,0.40619307832422585,0.5,0.7753491196114147,0.6666666666666666,0.8938714499252616,0.7637292464878672,0.8506548017521497,0.7421139475704508,classification,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,18,LightGBM,7685,3294
3294,1387,0.42106860959319975,0.5,0.7862780813600486,0.7360055286800277,0.7678442682047585,0.7515878616796048,0.8184386140084967,0.7250526397126958,classification,high_active,high_active_d4_plus,관계 경험자,관계망 환경축,5,Baseline Logistic,7685,3294
3294,1387,0.42106860959319975,0.5,0.7899210686095932,0.7237604636188023,0.8103821196827685,0.7646258503401361,0.8507093926712537,0.7736620779069607,classification,high_active,high_active_d4_plus,관계 경험자,관계망 환경축,5,LightGBM,7685,3294
3294,1387,0.42106860959319975,0.5,0.8123861566484517,0.7906273620559335,0.7541456380677721,0.7719557195571956,0.8484530676455166,0.8199440091202352,classification,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,18,Baseline Logistic,7685,3294
3294,1387,0.42106860959319975,0.5,0.8178506375227687,0.7921306607275427,0.7692862292718097,0.7805413313825896,0.883463534528616,0.8571731615911085,classification,high_active,high_active_d4_plus,관계 경험자,관계망 + 수신/발신축,18,LightGBM,7685,3294
194559,8405,0.043200263159247326,0.5,0.4834009220853314,0.05134250418923658,0.627007733491969,0.09491305639852678,0.5757174819538315,0.057551934751187285,classification,paid,paid_d4_28,전체 유저,A1_관계망,5,Baseline Logistic,453970,194559
194559,8405,0.043200263159247326,0.5,0.5569981342420551,0.05678567765609509,0.5928613920285545,0.10364407837264446,0.6056968989943573,0.06462380768978082,classification,paid,paid_d4_28,전체 유저,A1_관계망,5,LightGBM,453970,194559
194559,8405,0.043200263159247326,0.5,0.4728077344147534,0.0514457200019054,0.6424747174301011,0.09526329716856312,0.5813182316724366,0.05777148259830566,classification,paid,paid_d4_28,전체 유저,A2_관계망_발신,12,Baseline Logistic,453970,194559
194559,8405,0.043200263159247326,0.5,0.5587199769735659,0.0565162620247366,0.5871505056513979,0.10310786106032907,0.6057636421705486,0.06443308289234558,classification,paid,paid_d4_28,전체 유저,A2_관계망_발신,12,LightGBM,453970,194559
194559,8405,0.043200263159247326,0.5,0.4740464332156312,0.05148702080110022,0.6414039262343842,0.09532229402975838,0.5813778661136411,0.057879972655103334,classification,paid,paid_d4_28,전체 유저,A3_관계망_수신,11,Baseline Logistic,453970,194559
194559,8405,0.043200263159247326,0.5,0.5596708453476837,0.05666678142321066,0.5875074360499702,0.10336382475456848,0.6058194514124818,0.06431321778290194,classification,paid,paid_d4_28,전체 유저,A3_관계망_수신,11,LightGBM,453970,194559
194559,8405,0.043200263159247326,0.5,0.4727357768080634,0.051473039519178566,0.6429506246281975,0.09531536616339777,0.5815565204957148,0.05788264133564567,classification,paid,paid_d4_28,전체 유저,A4_관계망_발신_수신,18,Baseline Logistic,453970,194559
