feature,importance,feature_label,target_name,target_col,population,feature_set,model_type
grade_users_d0_3,2733,D0-D3 같은 학년 유저 수,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
grade_active_users_d0_3,1705,D0-D3 같은 학년 활동 유저 수,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
friends_d3,1560,D3 친구 수,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
class_users_d0_3,1206,D0-D3 같은 반 유저 수,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
class_active_users_d0_3,296,D0-D3 같은 반 활동 유저 수,relation_experience,relation_experience_d0_3,전체 유저,관계망 환경축,LightGBM
grade_users_d0_3,2312,D0-D3 같은 학년 유저 수,churn,churn_d4_plus,관계 경험자,관계망 환경축,LightGBM
friends_d3,2074,D3 친구 수,churn,churn_d4_plus,관계 경험자,관계망 환경축,LightGBM
grade_active_users_d0_3,1663,D0-D3 같은 학년 활동 유저 수,churn,churn_d4_plus,관계 경험자,관계망 환경축,LightGBM
class_users_d0_3,907,D0-D3 같은 반 유저 수,churn,churn_d4_plus,관계 경험자,관계망 환경축,LightGBM
class_active_users_d0_3,544,D0-D3 같은 반 활동 유저 수,churn,churn_d4_plus,관계 경험자,관계망 환경축,LightGBM
grade_users_d0_3,1398,D0-D3 같은 학년 유저 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
friends_d3,1123,D3 친구 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
received_vote_count_d0_3,962,D0-D3 수신 Ping 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
grade_active_users_d0_3,875,D0-D3 같은 학년 활동 유저 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
class_users_d0_3,617,D0-D3 같은 반 유저 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_complete_rate_d0_3,439,D0-D3 발신 완료율,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_distinct_chosen_users_d0_3,370,D0-D3 선택 고유 유저 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_count_d0_3,339,D0-D3 발신 투표 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
class_active_users_d0_3,316,D0-D3 같은 반 활동 유저 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_complete_count_d0_3,229,D0-D3 완료 발신 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
point_use_after_received_vote_count_d0_3,202,수신 후 포인트 사용 횟수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_distinct_questions_d0_3,196,D0-D3 고유 질문 수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
sent_vote_active_days_d0_3,134,D0-D3 발신 활동일수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
first_received_vote_day_d0_3,125,첫 수신 발생일,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
received_vote_days_d0_3,120,D0-D3 수신 발생일수,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
point_use_after_received_vote_yn_d0_3,51,수신 후 포인트 사용 여부,churn,churn_d4_plus,관계 경험자,관계망 + 수신/발신축,LightGBM
