user_id,sender_group,logical_invalid_reasons,active_days_d0_28,active_days_d8_28,payment_active_days_d0_28,payment_active_days_d8_28,sent_vote_active_days_d0,sent_vote_active_days_d0_1,sent_vote_active_days_d0_3,sent_vote_active_days_d0_7,sent_vote_active_days_d0_14,sent_vote_active_days_d0_28,hackle_question_active_days_d0_7
1578028,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578031,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578044,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578052,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578060,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578073,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578079,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578089,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578091,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578093,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578097,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
