section,item,summary
발신 경험 그룹 비교,보낸 투표 경험 무,"유저 수 643,306명, D1-D28 재방문율 45.39%, D0-D28 결제율 8.49%, D0-D28 전체 평균 추정 구매 하트 수 108.14, 결제자 평균 추정 구매 하트 수 1273.28, D0-D28 전체 평균 활동일수 5.25일, 활동 유저 평균 활동일수 5.36일"
발신 경험 그룹 비교,보낸 투표 경험 유,"유저 수 4,761명, D1-D28 재방문율 36.61%, D0-D28 결제율 7.88%, D0-D28 전체 평균 추정 구매 하트 수 91.28, 결제자 평균 추정 구매 하트 수 1158.95, D0-D28 전체 평균 활동일수 15.05일, 활동 유저 평균 활동일수 15.05일"
발신 단독 클러스터링 결과,발신 비활성형,"유저 수 643,381명, D0-D7 전체 평균 보낸 투표 0.00회, 발신 유저 평균 보낸 투표 6.26회, D0-D28 전체 평균 활동일수 5.25일, 활동 유저 평균 활동일수 5.36일, D1-D28 재방문율 45.39%, D0-D28 결제율 8.49%, D0-D28 전체 평균 추정 구매 하트 수 108.13, 결제자 평균 추정 구매 하트 수 1273.29"
발신 단독 클러스터링 결과,Hackle 질문 반응형,"유저 수 115명, D0-D7 전체 평균 보낸 투표 0.00회, 발신 유저 평균 보낸 투표 0.00회, D0-D28 전체 평균 활동일수 1.82일, 활동 유저 평균 활동일수 1.82일, D1-D28 재방문율 29.57%, D0-D28 결제율 2.61%, D0-D28 전체 평균 추정 구매 하트 수 20.27, 결제자 평균 추정 구매 하트 수 777.00"
발신 단독 클러스터링 결과,고강도 투표 발신형,"유저 수 4,571명, D0-D7 전체 평균 보낸 투표 196.19회, 발신 유저 평균 보낸 투표 196.19회, D0-D28 전체 평균 활동일수 15.36일, 활동 유저 평균 활동일수 15.36일, D1-D28 재방문율 37.39%, D0-D28 결제율 8.14%, D0-D28 전체 평균 추정 구매 하트 수 94.43, 결제자 평균 추정 구매 하트 수 1160.35"
보낸 투표 제외 활동일수,보낸 투표 경험 무,"포함 D0-D28 5.25일, 제외 D0-D28 5.25일, 차이 +0.00일"
보낸 투표 제외 활동일수,보낸 투표 경험 유,"포함 D0-D28 15.05일, 제외 D0-D28 13.94일, 차이 +1.11일"
보낸 투표 수 강도 구간,0회,"유저 수 643,306명, D1-D28 재방문율 45.39%, D0-D28 결제율 8.49%, D0-D28 전체 평균 추정 구매 하트 수 108.14, 결제자 평균 추정 구매 하트 수 1273.28, D0-D28 전체 평균 활동일수 5.25일, 활동 유저 평균 활동일수 5.36일"
보낸 투표 수 강도 구간,1-3회,"유저 수 67명, D1-D28 재방문율 16.42%, D0-D28 결제율 1.49%, D0-D28 전체 평균 추정 구매 하트 수 14.93, 결제자 평균 추정 구매 하트 수 1000.00, D0-D28 전체 평균 활동일수 5.36일, 활동 유저 평균 활동일수 5.36일"
보낸 투표 수 강도 구간,4-10회,"유저 수 136명, D1-D28 재방문율 16.18%, D0-D28 결제율 2.21%, D0-D28 전체 평균 추정 구매 하트 수 20.08, 결제자 평균 추정 구매 하트 수 910.33, D0-D28 전체 평균 활동일수 6.40일, 활동 유저 평균 활동일수 6.40일"
보낸 투표 수 강도 구간,11-50회,"유저 수 593명, D1-D28 재방문율 23.95%, D0-D28 결제율 4.89%, D0-D28 전체 평균 추정 구매 하트 수 55.91, 결제자 평균 추정 구매 하트 수 1143.31, D0-D28 전체 평균 활동일수 11.39일, 활동 유저 평균 활동일수 11.39일"
보낸 투표 수 강도 구간,51회 이상,"유저 수 3,965명, D1-D28 재방문율 39.55%, D0-D28 결제율 8.63%, D0-D28 전체 평균 추정 구매 하트 수 100.31, 결제자 평균 추정 구매 하트 수 1162.92, D0-D28 전체 평균 활동일수 16.06일, 활동 유저 평균 활동일수 16.06일"
