activity_date,revisit_group,user_count
2023-05-27,출석 0~1일,4893
2023-05-27,출석 2일 이상,57524
2023-05-28,출석 0~1일,8552
2023-05-28,출석 2일 이상,85668
2023-05-29,출석 0~1일,16205
2023-05-29,출석 2일 이상,156631
2023-05-30,출석 0~1일,13069
2023-05-30,출석 2일 이상,152983
2023-05-31,출석 2일 이상,111971
2023-05-31,출석 0~1일,3742
2023-06-01,출석 0~1일,2516
2023-06-01,출석 2일 이상,97518
2023-06-02,출석 0~1일,2860
2023-06-02,출석 2일 이상,102142
2023-06-03,출석 0~1일,2956
2023-06-03,출석 2일 이상,107054
2023-06-04,출석 2일 이상,94581
2023-06-04,출석 0~1일,2184
2023-06-05,출석 2일 이상,83110
2023-06-05,출석 0~1일,1535
2023-06-06,출석 0~1일,1698
2023-06-06,출석 2일 이상,87370
2023-06-07,출석 0~1일,590
2023-06-07,출석 2일 이상,57458
2023-06-08,출석 0~1일,560
2023-06-08,출석 2일 이상,54874
2023-06-09,출석 0~1일,402
2023-06-09,출석 2일 이상,45420
2023-06-10,출석 2일 이상,46587
2023-06-10,출석 0~1일,442
2023-06-11,출석 0~1일,515
2023-06-11,출석 2일 이상,46126
2023-06-12,출석 0~1일,290
2023-06-12,출석 2일 이상,38000
2023-06-13,출석 0~1일,220
2023-06-13,출석 2일 이상,32718
2023-06-14,출석 0~1일,202
2023-06-14,출석 2일 이상,30804
2023-06-15,출석 2일 이상,27669
2023-06-15,출석 0~1일,178
2023-06-16,출석 0~1일,146
2023-06-16,출석 2일 이상,25352
2023-06-17,출석 0~1일,148
2023-06-17,출석 2일 이상,26149
2023-06-18,출석 0~1일,182
2023-06-18,출석 2일 이상,25538
2023-06-19,출석 0~1일,106
2023-06-19,출석 2일 이상,20848
2023-06-20,출석 2일 이상,18516
2023-06-20,출석 0~1일,108
2023-06-21,출석 0~1일,177
2023-06-21,출석 2일 이상,16548
2023-06-22,출석 0~1일,750
2023-06-22,출석 2일 이상,22699
2023-06-23,출석 0~1일,460
2023-06-23,출석 2일 이상,17273
2023-06-24,출석 0~1일,530
2023-06-24,출석 2일 이상,19385
2023-06-25,출석 2일 이상,16058
2023-06-25,출석 0~1일,375
2023-06-26,출석 0~1일,233
2023-06-26,출석 2일 이상,12273
2023-06-27,출석 0~1일,181
2023-06-27,출석 2일 이상,10543
2023-06-28,출석 0~1일,165
2023-06-28,출석 2일 이상,10238
2023-06-29,출석 0~1일,165
2023-06-29,출석 2일 이상,9830
2023-06-30,출석 2일 이상,9054
2023-06-30,출석 0~1일,167
2023-07-01,출석 0~1일,147
2023-07-01,출석 2일 이상,9570
2023-07-02,출석 0~1일,176
2023-07-02,출석 2일 이상,9631
2023-07-03,출석 0~1일,108
2023-07-03,출석 2일 이상,7980
2023-07-04,출석 0~1일,98
2023-07-04,출석 2일 이상,7318
2023-07-05,출석 0~1일,100
2023-07-05,출석 2일 이상,6966
2023-07-06,출석 2일 이상,6538
2023-07-06,출석 0~1일,87
2023-07-07,출석 0~1일,85
2023-07-07,출석 2일 이상,6127
2023-07-08,출석 0~1일,101
2023-07-08,출석 2일 이상,6373
2023-07-09,출석 0~1일,113
2023-07-09,출석 2일 이상,6433
2023-07-10,출석 0~1일,79
2023-07-10,출석 2일 이상,5455
2023-07-11,출석 2일 이상,6990
2023-07-11,출석 0~1일,615
2023-07-12,출석 0~1일,496
2023-07-12,출석 2일 이상,7449
2023-07-13,출석 0~1일,457
2023-07-13,출석 2일 이상,7682
2023-07-14,출석 0~1일,202
2023-07-14,출석 2일 이상,6326
2023-07-15,출석 0~1일,168
2023-07-15,출석 2일 이상,6336
2023-07-16,출석 2일 이상,6347
2023-07-16,출석 0~1일,194
2023-07-17,출석 0~1일,120
2023-07-17,출석 2일 이상,4857
2023-07-18,출석 0~1일,216
2023-07-18,출석 2일 이상,5777
2023-07-19,출석 0~1일,137
2023-07-19,출석 2일 이상,5142
2023-07-20,출석 0~1일,322
2023-07-20,출석 2일 이상,6758
2023-07-21,출석 2일 이상,7023
2023-07-21,출석 0~1일,290
2023-07-22,출석 0~1일,115
2023-07-22,출석 2일 이상,4907
2023-07-23,출석 0~1일,257
2023-07-23,출석 2일 이상,6309
2023-07-24,출석 0~1일,118
2023-07-24,출석 2일 이상,5045
2023-07-25,출석 0~1일,99
2023-07-25,출석 2일 이상,4646
2023-07-26,출석 2일 이상,4391
2023-07-26,출석 0~1일,84
2023-07-27,출석 2일 이상,5583
2023-07-27,출석 0~1일,216
2023-07-28,출석 0~1일,220
2023-07-28,출석 2일 이상,5752
2023-07-29,출석 0~1일,196
2023-07-29,출석 2일 이상,5851
2023-07-30,출석 0~1일,101
2023-07-30,출석 2일 이상,4622
2023-07-31,출석 0~1일,99
2023-07-31,출석 2일 이상,4306
2023-08-01,출석 2일 이상,4065
2023-08-01,출석 0~1일,68
2023-08-02,출석 0~1일,90
2023-08-02,출석 2일 이상,3867
2023-08-03,출석 0~1일,63
2023-08-03,출석 2일 이상,3692
2023-08-04,출석 0~1일,146
2023-08-04,출석 2일 이상,4862
2023-08-05,출석 2일 이상,5908
2023-08-05,출석 0~1일,191
2023-08-06,출석 2일 이상,6953
2023-08-06,출석 0~1일,208
2023-08-07,출석 0~1일,113
2023-08-07,출석 2일 이상,4811
2023-08-08,출석 0~1일,90
2023-08-08,출석 2일 이상,4149
2023-08-09,출석 0~1일,56
2023-08-09,출석 2일 이상,3884
2023-08-10,출석 0~1일,67
2023-08-10,출석 2일 이상,3885
2023-08-11,출석 2일 이상,3571
2023-08-11,출석 0~1일,58
2023-08-12,출석 0~1일,71
2023-08-12,출석 2일 이상,3383
2023-08-13,출석 0~1일,49
2023-08-13,출석 2일 이상,3363
2023-08-14,출석 0~1일,47
2023-08-14,출석 2일 이상,3233
2023-08-15,출석 0~1일,57
2023-08-15,출석 2일 이상,3192
2023-08-16,출석 0~1일,38
2023-08-16,출석 2일 이상,2921
2023-08-17,출석 2일 이상,2694
2023-08-17,출석 0~1일,36
2023-08-18,출석 0~1일,69
2023-08-18,출석 2일 이상,2995
2023-08-19,출석 0~1일,48
2023-08-19,출석 2일 이상,3002
2023-08-20,출석 0~1일,56
2023-08-20,출석 2일 이상,3102
2023-08-21,출석 0~1일,34
2023-08-21,출석 2일 이상,2507
2023-08-22,출석 2일 이상,2292
2023-08-22,출석 0~1일,38
2023-08-23,출석 0~1일,23
2023-08-23,출석 2일 이상,1487
2023-08-24,출석 2일 이상,11
2023-08-25,출석 2일 이상,1
2023-08-27,출석 2일 이상,1
2023-09-12,출석 2일 이상,2
2023-09-13,출석 0~1일,20
2023-09-13,출석 2일 이상,365
2023-09-14,출석 2일 이상,731
2023-09-14,출석 0~1일,17
2023-09-15,출석 0~1일,40
2023-09-15,출석 2일 이상,1478
2023-09-16,출석 0~1일,42
2023-09-16,출석 2일 이상,1316
2023-09-17,출석 0~1일,250
2023-09-17,출석 2일 이상,4118
2023-09-18,출석 0~1일,321
2023-09-18,출석 2일 이상,4120
2023-09-19,출석 2일 이상,4807
2023-09-19,출석 0~1일,300
2023-09-20,출석 0~1일,80
2023-09-20,출석 2일 이상,1951
2023-09-21,출석 0~1일,84
2023-09-21,출석 2일 이상,1757
2023-09-22,출석 0~1일,59
2023-09-22,출석 2일 이상,1454
2023-09-23,출석 0~1일,84
2023-09-23,출석 2일 이상,1934
2023-09-24,출석 2일 이상,2314
2023-09-24,출석 0~1일,162
2023-09-25,출석 0~1일,69
2023-09-25,출석 2일 이상,1251
2023-09-26,출석 0~1일,56
2023-09-26,출석 2일 이상,1481
2023-09-27,출석 0~1일,52
2023-09-27,출석 2일 이상,1280
2023-09-28,출석 0~1일,71
2023-09-28,출석 2일 이상,1492
2023-09-29,출석 2일 이상,1201
2023-09-29,출석 0~1일,41
2023-09-30,출석 0~1일,36
2023-09-30,출석 2일 이상,1277
2023-10-01,출석 0~1일,51
2023-10-01,출석 2일 이상,1272
2023-10-02,출석 0~1일,34
2023-10-02,출석 2일 이상,1064
2023-10-03,출석 0~1일,44
2023-10-03,출석 2일 이상,1220
2023-10-04,출석 2일 이상,825
2023-10-04,출석 0~1일,14
2023-10-05,출석 0~1일,30
2023-10-05,출석 2일 이상,888
2023-10-06,출석 0~1일,24
2023-10-06,출석 2일 이상,783
2023-10-07,출석 0~1일,26
2023-10-07,출석 2일 이상,919
2023-10-08,출석 0~1일,31
2023-10-08,출석 2일 이상,767
2023-10-09,출석 2일 이상,1179
2023-10-09,출석 0~1일,52
2023-10-10,출석 0~1일,13
2023-10-10,출석 2일 이상,720
2023-10-11,출석 0~1일,22
2023-10-11,출석 2일 이상,757
2023-10-12,출석 0~1일,15
2023-10-12,출석 2일 이상,473
2023-10-13,출석 0~1일,19
2023-10-13,출석 2일 이상,538
2023-10-14,출석 2일 이상,704
2023-10-14,출석 0~1일,17
2023-10-15,출석 2일 이상,723
2023-10-15,출석 0~1일,23
2023-10-16,출석 0~1일,16
2023-10-16,출석 2일 이상,546
2023-10-17,출석 0~1일,7
2023-10-17,출석 2일 이상,453
2023-10-18,출석 0~1일,8
2023-10-18,출석 2일 이상,494
2023-10-19,출석 0~1일,15
2023-10-19,출석 2일 이상,600
2023-10-20,출석 2일 이상,459
2023-10-20,출석 0~1일,14
2023-10-21,출석 0~1일,21
2023-10-21,출석 2일 이상,865
2023-10-22,출석 0~1일,36
2023-10-22,출석 2일 이상,854
2023-10-23,출석 0~1일,23
2023-10-23,출석 2일 이상,576
2023-10-24,출석 2일 이상,493
2023-10-24,출석 0~1일,7
2023-10-25,출석 2일 이상,473
2023-10-25,출석 0~1일,6
2023-10-26,출석 0~1일,8
2023-10-26,출석 2일 이상,438
2023-10-27,출석 0~1일,8
2023-10-27,출석 2일 이상,416
2023-10-28,출석 0~1일,6
2023-10-28,출석 2일 이상,468
2023-10-29,출석 0~1일,11
2023-10-29,출석 2일 이상,520
2023-10-30,출석 2일 이상,431
2023-10-30,출석 0~1일,11
2023-10-31,출석 0~1일,8
2023-10-31,출석 2일 이상,408
2023-11-01,출석 0~1일,10
2023-11-01,출석 2일 이상,403
2023-11-02,출석 0~1일,9
2023-11-02,출석 2일 이상,385
2023-11-03,출석 0~1일,8
2023-11-03,출석 2일 이상,379
2023-11-04,출석 2일 이상,429
2023-11-04,출석 0~1일,14
2023-11-05,출석 0~1일,17
2023-11-05,출석 2일 이상,508
2023-11-06,출석 0~1일,19
2023-11-06,출석 2일 이상,431
2023-11-07,출석 0~1일,12
2023-11-07,출석 2일 이상,408
2023-11-08,출석 0~1일,11
2023-11-08,출석 2일 이상,367
2023-11-09,출석 2일 이상,381
2023-11-09,출석 0~1일,16
2023-11-10,출석 0~1일,8
2023-11-10,출석 2일 이상,332
2023-11-11,출석 0~1일,23
2023-11-11,출석 2일 이상,529
2023-11-12,출석 0~1일,64
2023-11-12,출석 2일 이상,774
2023-11-13,출석 0~1일,39
2023-11-13,출석 2일 이상,644
2023-11-14,출석 2일 이상,541
2023-11-14,출석 0~1일,38
2023-11-15,출석 0~1일,32
2023-11-15,출석 2일 이상,534
2023-11-16,출석 0~1일,34
2023-11-16,출석 2일 이상,556
2023-11-17,출석 0~1일,17
2023-11-17,출석 2일 이상,419
2023-11-18,출석 0~1일,30
2023-11-18,출석 2일 이상,478
2023-11-19,출석 2일 이상,520
2023-11-19,출석 0~1일,24
2023-11-20,출석 0~1일,16
2023-11-20,출석 2일 이상,407
2023-11-21,출석 0~1일,13
2023-11-21,출석 2일 이상,334
2023-11-22,출석 0~1일,7
2023-11-22,출석 2일 이상,322
2023-11-23,출석 0~1일,16
2023-11-23,출석 2일 이상,350
2023-11-24,출석 0~1일,9
2023-11-24,출석 2일 이상,304
2023-11-25,출석 2일 이상,347
2023-11-25,출석 0~1일,14
2023-11-26,출석 2일 이상,396
2023-11-26,출석 0~1일,7
2023-11-27,출석 0~1일,11
2023-11-27,출석 2일 이상,313
2023-11-28,출석 0~1일,4
2023-11-28,출석 2일 이상,284
2023-11-29,출석 0~1일,6
2023-11-29,출석 2일 이상,260
2023-11-30,출석 0~1일,15
2023-11-30,출석 2일 이상,276
2023-12-01,출석 2일 이상,273
2023-12-01,출석 0~1일,5
2023-12-02,출석 0~1일,8
2023-12-02,출석 2일 이상,305
2023-12-03,출석 0~1일,5
2023-12-03,출석 2일 이상,330
2023-12-04,출석 0~1일,12
2023-12-04,출석 2일 이상,285
2023-12-05,출석 0~1일,5
2023-12-05,출석 2일 이상,277
2023-12-06,출석 2일 이상,299
2023-12-06,출석 0~1일,7
2023-12-07,출석 0~1일,13
2023-12-07,출석 2일 이상,262
2023-12-08,출석 0~1일,15
2023-12-08,출석 2일 이상,438
2023-12-09,출석 0~1일,29
2023-12-09,출석 2일 이상,501
2023-12-10,출석 0~1일,22
2023-12-10,출석 2일 이상,479
2023-12-11,출석 2일 이상,292
2023-12-11,출석 0~1일,10
2023-12-12,출석 0~1일,9
2023-12-12,출석 2일 이상,257
2023-12-13,출석 0~1일,2
2023-12-13,출석 2일 이상,255
2023-12-14,출석 0~1일,5
2023-12-14,출석 2일 이상,264
2023-12-15,출석 0~1일,5
2023-12-15,출석 2일 이상,244
2023-12-16,출석 0~1일,6
2023-12-16,출석 2일 이상,259
2023-12-17,출석 2일 이상,249
2023-12-17,출석 0~1일,9
2023-12-18,출석 0~1일,7
2023-12-18,출석 2일 이상,253
2023-12-19,출석 0~1일,5
2023-12-19,출석 2일 이상,211
2023-12-20,출석 0~1일,5
2023-12-20,출석 2일 이상,215
2023-12-21,출석 0~1일,5
2023-12-21,출석 2일 이상,197
2023-12-22,출석 2일 이상,197
2023-12-22,출석 0~1일,6
2023-12-23,출석 0~1일,4
2023-12-23,출석 2일 이상,237
2023-12-24,출석 0~1일,8
2023-12-24,출석 2일 이상,245
2023-12-25,출석 0~1일,3
2023-12-25,출석 2일 이상,239
2023-12-26,출석 0~1일,4
2023-12-26,출석 2일 이상,187
2023-12-27,출석 2일 이상,182
2023-12-27,출석 0~1일,6
2023-12-28,출석 0~1일,5
2023-12-28,출석 2일 이상,208
2023-12-29,출석 0~1일,2
2023-12-29,출석 2일 이상,231
2023-12-30,출석 0~1일,7
2023-12-30,출석 2일 이상,261
2023-12-31,출석 0~1일,5
2023-12-31,출석 2일 이상,256
2024-01-01,출석 2일 이상,222
2024-01-01,출석 0~1일,12
2024-01-02,출석 0~1일,6
2024-01-02,출석 2일 이상,217
2024-01-03,출석 0~1일,6
2024-01-03,출석 2일 이상,163
2024-01-04,출석 0~1일,6
2024-01-04,출석 2일 이상,157
2024-01-05,출석 0~1일,5
2024-01-05,출석 2일 이상,226
2024-01-06,출석 2일 이상,249
2024-01-06,출석 0~1일,6
2024-01-07,출석 2일 이상,301
2024-01-07,출석 0~1일,13
2024-01-08,출석 0~1일,11
2024-01-08,출석 2일 이상,232
2024-01-09,출석 0~1일,11
2024-01-09,출석 2일 이상,203
2024-01-10,출석 0~1일,12
2024-01-10,출석 2일 이상,214
2024-01-11,출석 0~1일,12
2024-01-11,출석 2일 이상,226
2024-01-12,출석 0~1일,22
2024-01-12,출석 2일 이상,227
2024-01-13,출석 2일 이상,227
2024-01-13,출석 0~1일,21
2024-01-14,출석 0~1일,13
2024-01-14,출석 2일 이상,203
2024-01-15,출석 0~1일,12
2024-01-15,출석 2일 이상,203
2024-01-16,출석 0~1일,13
2024-01-16,출석 2일 이상,205
2024-01-17,출석 0~1일,14
2024-01-17,출석 2일 이상,177
2024-01-18,출석 2일 이상,164
2024-01-18,출석 0~1일,8
2024-01-19,출석 0~1일,15
2024-01-19,출석 2일 이상,169
2024-01-20,출석 0~1일,13
2024-01-20,출석 2일 이상,160
2024-01-21,출석 0~1일,8
2024-01-21,출석 2일 이상,148
2024-01-22,출석 0~1일,8
2024-01-22,출석 2일 이상,141
2024-01-23,출석 2일 이상,120
2024-01-23,출석 0~1일,4
2024-01-24,출석 0~1일,5
2024-01-24,출석 2일 이상,122
2024-01-25,출석 0~1일,6
2024-01-25,출석 2일 이상,130
2024-01-26,출석 0~1일,1
2024-01-26,출석 2일 이상,120
2024-01-27,출석 2일 이상,106
2024-01-27,출석 0~1일,2
2024-01-28,출석 2일 이상,121
2024-01-28,출석 0~1일,6
2024-01-29,출석 0~1일,9
2024-01-29,출석 2일 이상,129
2024-01-30,출석 0~1일,5
2024-01-30,출석 2일 이상,118
2024-01-31,출석 0~1일,5
2024-01-31,출석 2일 이상,115
2024-02-01,출석 0~1일,6
2024-02-01,출석 2일 이상,106
2024-02-02,출석 2일 이상,110
2024-02-02,출석 0~1일,6
2024-02-03,출석 0~1일,8
2024-02-03,출석 2일 이상,96
2024-02-04,출석 0~1일,3
2024-02-04,출석 2일 이상,96
2024-02-05,출석 0~1일,2
2024-02-05,출석 2일 이상,101
2024-02-06,출석 0~1일,4
2024-02-06,출석 2일 이상,90
2024-02-07,출석 2일 이상,101
2024-02-07,출석 0~1일,3
2024-02-08,출석 0~1일,5
2024-02-08,출석 2일 이상,98
2024-02-09,출석 0~1일,6
2024-02-09,출석 2일 이상,86
2024-02-10,출석 0~1일,3
2024-02-10,출석 2일 이상,87
2024-02-11,출석 2일 이상,72
2024-02-11,출석 0~1일,3
2024-02-12,출석 2일 이상,82
2024-02-12,출석 0~1일,5
2024-02-13,출석 0~1일,2
2024-02-13,출석 2일 이상,83
2024-02-14,출석 0~1일,1
2024-02-14,출석 2일 이상,77
2024-02-15,출석 0~1일,4
2024-02-15,출석 2일 이상,81
2024-02-16,출석 2일 이상,79
2024-02-16,출석 0~1일,4
2024-02-17,출석 2일 이상,81
2024-02-17,출석 0~1일,2
2024-02-18,출석 0~1일,2
2024-02-18,출석 2일 이상,64
2024-02-19,출석 0~1일,6
2024-02-19,출석 2일 이상,68
2024-02-20,출석 0~1일,3
2024-02-20,출석 2일 이상,68
2024-02-21,출석 0~1일,1
2024-02-21,출석 2일 이상,87
2024-02-22,출석 2일 이상,75
2024-02-22,출석 0~1일,2
2024-02-23,출석 0~1일,4
2024-02-23,출석 2일 이상,74
2024-02-24,출석 0~1일,5
2024-02-24,출석 2일 이상,78
2024-02-25,출석 0~1일,5
2024-02-25,출석 2일 이상,65
2024-02-26,출석 2일 이상,75
2024-02-26,출석 0~1일,6
2024-02-27,출석 2일 이상,80
2024-02-27,출석 0~1일,8
2024-02-28,출석 0~1일,3
2024-02-28,출석 2일 이상,77
2024-02-29,출석 0~1일,9
2024-02-29,출석 2일 이상,71
2024-03-01,출석 0~1일,10
2024-03-01,출석 2일 이상,75
2024-03-02,출석 0~1일,5
2024-03-02,출석 2일 이상,66
2024-03-03,출석 2일 이상,79
2024-03-03,출석 0~1일,4
2024-03-04,출석 0~1일,2
2024-03-04,출석 2일 이상,60
2024-03-05,출석 0~1일,3
2024-03-05,출석 2일 이상,55
2024-03-06,출석 0~1일,7
2024-03-06,출석 2일 이상,61
2024-03-07,출석 0~1일,5
2024-03-07,출석 2일 이상,52
2024-03-08,출석 2일 이상,55
2024-03-08,출석 0~1일,2
2024-03-09,출석 0~1일,5
2024-03-09,출석 2일 이상,61
2024-03-10,출석 0~1일,6
2024-03-10,출석 2일 이상,78
2024-03-11,출석 0~1일,5
2024-03-11,출석 2일 이상,53
2024-03-12,출석 0~1일,2
2024-03-12,출석 2일 이상,26
2024-03-13,출석 2일 이상,33
2024-03-13,출석 0~1일,1
2024-03-14,출석 0~1일,3
2024-03-14,출석 2일 이상,54
2024-03-15,출석 0~1일,2
2024-03-15,출석 2일 이상,53
2024-03-16,출석 0~1일,3
2024-03-16,출석 2일 이상,62
2024-03-17,출석 0~1일,5
2024-03-17,출석 2일 이상,73
2024-03-18,출석 2일 이상,48
2024-03-18,출석 0~1일,6
2024-03-19,출석 0~1일,2
2024-03-19,출석 2일 이상,52
2024-03-20,출석 0~1일,4
2024-03-20,출석 2일 이상,52
2024-03-21,출석 0~1일,4
2024-03-21,출석 2일 이상,44
2024-03-22,출석 0~1일,2
2024-03-22,출석 2일 이상,41
2024-03-23,출석 2일 이상,66
2024-03-23,출석 0~1일,3
2024-03-24,출석 0~1일,7
2024-03-24,출석 2일 이상,69
2024-03-25,출석 0~1일,4
2024-03-25,출석 2일 이상,44
2024-03-26,출석 0~1일,3
2024-03-26,출석 2일 이상,52
2024-03-27,출석 0~1일,3
2024-03-27,출석 2일 이상,54
2024-03-28,출석 0~1일,2
2024-03-28,출석 2일 이상,50
2024-03-29,출석 2일 이상,46
2024-03-29,출석 0~1일,1
