friend_date,status,friend_request_count,send_user_count,receive_user_count
2023-04-17,A,3,1,3
2023-04-17,P,4,1,4
2023-04-18,A,1,1,1
2023-04-19,A,6180,508,517
2023-04-19,P,628,276,92
2023-04-19,R,52,30,31
2023-04-20,A,8434,859,1012
2023-04-20,P,991,464,212
2023-04-20,R,105,68,66
2023-04-21,A,7716,1078,1461
2023-04-21,P,1133,549,308
2023-04-21,R,173,101,103
2023-04-22,A,10718,1352,2047
2023-04-22,P,1845,760,484
2023-04-22,R,249,142,166
2023-04-23,R,301,194,179
2023-04-23,P,2856,1056,751
2023-04-23,A,14387,1780,2680
2023-04-24,A,10464,1390,2709
2023-04-24,P,2273,811,740
2023-04-24,R,334,173,228
2023-04-25,A,10945,1554,2955
2023-04-25,P,1921,845,737
2023-04-25,R,310,197,212
2023-04-26,R,344,215,209
2023-04-26,P,2711,1182,867
2023-04-26,A,15330,2170,3425
2023-04-27,A,9741,1602,3377
2023-04-27,P,2056,864,915
2023-04-27,R,291,147,209
2023-04-28,A,15156,1883,3962
2023-04-28,P,2910,1143,988
2023-04-28,R,313,208,211
2023-04-29,R,1224,734,685
2023-04-29,A,55436,5598,7920
2023-04-29,P,10479,3651,2252
2023-04-30,A,71780,7666,11360
2023-04-30,P,15753,5249,3356
2023-04-30,R,1666,969,946
2023-05-01,A,72084,7734,13665
2023-05-01,P,15988,5218,4034
2023-05-01,R,1526,971,977
2023-05-02,A,68729,8008,15581
2023-05-02,P,16620,5285,4835
2023-05-02,R,1771,1035,1174
2023-05-03,A,67873,7917,16387
2023-05-03,P,16150,5284,5054
2023-05-03,R,1573,953,1027
2023-05-04,R,1048,745,756
2023-05-04,P,13037,4462,5054
2023-05-04,A,51503,6751,16029
2023-05-05,A,92097,10252,19602
2023-05-05,P,22201,6984,6720
2023-05-05,R,2134,1241,1367
2023-05-06,A,458544,40502,51746
2023-05-06,P,125138,30766,18180
2023-05-06,R,7337,4751,4234
2023-05-07,A,712140,66866,87596
2023-05-07,P,197013,51459,31813
2023-05-07,R,13715,8688,7597
2023-05-08,A,653832,65706,106589
2023-05-08,P,164442,47163,36044
2023-05-08,R,12794,7956,7537
2023-05-09,P,157372,50441,40009
2023-05-09,R,11936,7508,7450
2023-05-09,A,666892,73935,124960
2023-05-10,R,14319,8938,8996
2023-05-10,A,712131,81621,145722
2023-05-10,P,174540,55698,47353
2023-05-11,A,669482,79210,152998
2023-05-11,P,162800,52975,49063
2023-05-11,R,13483,8334,8797
2023-05-12,A,623666,74661,155641
2023-05-12,P,152505,49483,49299
2023-05-12,R,13097,8134,8699
2023-05-13,A,792120,94234,182951
2023-05-13,P,193506,62235,59984
2023-05-13,R,16529,10095,10619
2023-05-14,A,600631,87699,187418
2023-05-14,P,166958,57184,65798
2023-05-14,R,16236,10003,10945
2023-05-15,P,142379,45642,55427
2023-05-15,R,13217,8167,9112
2023-05-15,A,569514,68992,164993
2023-05-16,A,659894,79299,172296
2023-05-16,P,156024,51382,58280
2023-05-16,R,15199,9130,10258
2023-05-17,A,480877,67497,164759
2023-05-17,P,124794,42501,56498
2023-05-17,R,12688,7825,8971
2023-05-18,P,85261,30737,47715
2023-05-18,A,303385,49525,135595
2023-05-18,R,8653,5602,6655
2023-05-19,A,326348,46440,124540
2023-05-19,P,86780,29094,44038
2023-05-19,R,8033,5131,6244
2023-05-20,P,112155,37507,54680
2023-05-20,R,10647,6528,7832
2023-05-20,A,403228,58847,141949
2023-05-21,R,12273,7369,8777
2023-05-21,P,122776,40740,58534
2023-05-21,A,446745,62145,142819
2023-05-22,A,516536,55933,147388
2023-05-22,P,145839,39744,62716
2023-05-22,R,14649,8797,10359
2023-05-23,A,463077,52532,140051
2023-05-23,P,138082,37118,59772
2023-05-23,R,14073,8380,9908
2023-05-24,A,400361,49629,137129
2023-05-24,P,127896,35411,59493
2023-05-24,R,12812,7713,9262
2023-05-25,R,12174,7122,9099
2023-05-25,A,338798,46276,135603
2023-05-25,P,120783,34019,63476
2023-05-26,R,8952,5717,7186
2023-05-26,P,96030,27901,58249
2023-05-26,A,252944,37781,119413
2023-05-27,A,212796,36809,113772
2023-05-27,P,94642,27784,62853
2023-05-27,R,9284,5647,7362
2023-05-28,A,203980,34036,105068
2023-05-28,P,95919,27118,65415
2023-05-28,R,8254,5268,6605
2023-05-29,R,7880,4856,6307
2023-05-29,A,193155,30490,93758
2023-05-29,P,99104,25974,66574
2023-05-30,P,64926,16095,45188
2023-05-30,R,4791,3095,3883
2023-05-30,A,127314,18798,64507
2023-05-31,P,53737,13379,38914
2023-05-31,R,3654,2371,3003
2023-05-31,A,98893,15363,52681
2023-06-01,R,2457,1620,2127
2023-06-01,A,57572,10416,36454
2023-06-01,P,36741,9467,29137
2023-06-02,A,56206,9757,34551
2023-06-02,P,36607,9076,28960
2023-06-02,R,2432,1465,2111
2023-06-03,A,53314,10486,34179
2023-06-03,P,39464,10134,32043
