payment_date,payment_count,paid_user_count
2023-05-13,421,362
2023-05-14,12802,10331
2023-05-15,6900,5536
2023-05-16,7163,5649
2023-05-17,5329,4244
2023-05-18,3676,2957
2023-05-19,3477,2726
2023-05-20,4875,3771
2023-05-21,5147,3957
2023-05-22,4229,3340
2023-05-23,4073,3276
2023-05-24,3949,3126
2023-05-25,3744,3003
2023-05-26,3285,2632
2023-05-27,3611,2865
2023-05-28,3437,2786
2023-05-29,3041,2467
2023-05-30,1669,1358
2023-05-31,1360,1112
2023-06-01,1007,821
2023-06-02,935,769
2023-06-03,1144,924
2023-06-04,816,681
2023-06-05,563,464
2023-06-06,634,533
2023-06-07,280,239
2023-06-08,260,217
2023-06-09,196,171
2023-06-10,294,253
2023-06-11,291,239
2023-06-12,138,125
2023-06-13,113,100
2023-06-14,104,83
2023-06-15,91,83
2023-06-16,84,75
2023-06-17,110,94
2023-06-18,111,94
2023-06-19,57,49
2023-06-20,57,53
2023-06-21,52,46
2023-06-22,81,65
2023-06-23,47,41
2023-06-24,76,67
2023-06-25,49,43
2023-06-26,33,27
2023-06-27,19,18
2023-06-28,22,19
2023-06-29,22,18
2023-06-30,23,21
2023-07-01,34,27
2023-07-02,22,20
2023-07-03,15,13
2023-07-04,19,18
2023-07-05,18,15
2023-07-06,13,13
2023-07-07,9,8
2023-07-08,25,21
2023-07-09,23,22
2023-07-10,13,13
2023-07-11,202,157
2023-07-12,155,125
2023-07-13,212,160
2023-07-14,70,51
2023-07-15,66,49
2023-07-16,46,38
2023-07-17,28,25
2023-07-18,137,104
2023-07-19,37,29
2023-07-20,139,117
2023-07-21,189,146
2023-07-22,62,47
2023-07-23,110,90
2023-07-24,37,32
2023-07-25,35,32
2023-07-26,25,21
2023-07-27,130,101
2023-07-28,146,109
2023-07-29,140,99
2023-07-30,34,25
2023-07-31,36,27
2023-08-01,21,18
2023-08-02,24,19
2023-08-03,25,23
2023-08-04,134,108
2023-08-05,253,196
2023-08-06,278,200
2023-08-07,77,64
2023-08-08,64,44
2023-08-09,33,26
2023-08-10,27,21
2023-08-11,26,20
2023-08-12,42,33
2023-08-13,36,27
2023-08-14,25,21
2023-08-15,23,19
2023-08-16,15,10
2023-08-17,10,7
2023-08-18,70,51
2023-08-19,21,19
2023-08-20,22,16
2023-08-21,18,12
2023-08-22,12,8
2023-08-23,23,19
2023-08-24,28,19
2023-08-25,23,15
2023-08-26,18,14
2023-08-27,30,23
2023-08-28,15,13
2023-08-29,10,7
2023-08-30,10,10
2023-08-31,5,5
2023-09-01,9,9
2023-09-02,12,8
2023-09-03,29,17
2023-09-04,8,8
2023-09-05,9,6
2023-09-06,14,11
2023-09-07,13,10
2023-09-08,12,8
2023-09-09,12,10
2023-09-10,27,21
2023-09-11,9,7
2023-09-12,8,7
2023-09-13,15,7
2023-09-14,8,4
2023-09-15,9,6
2023-09-16,9,6
2023-09-17,58,39
2023-09-18,72,49
2023-09-19,37,24
2023-09-20,14,12
2023-09-21,12,9
2023-09-22,16,9
2023-09-23,19,15
2023-09-24,20,13
2023-09-25,15,9
2023-09-26,9,6
2023-09-27,12,6
2023-09-28,12,6
2023-09-29,8,6
2023-09-30,13,6
2023-10-01,8,7
2023-10-02,25,11
2023-10-03,7,6
2023-10-04,9,6
2023-10-05,8,5
2023-10-06,7,3
2023-10-07,7,4
2023-10-08,25,11
2023-10-09,10,7
2023-10-10,10,5
2023-10-11,3,2
2023-10-12,3,3
2023-10-13,7,4
2023-10-14,8,5
2023-10-15,16,6
2023-10-16,6,5
2023-10-18,2,2
2023-10-19,2,1
2023-10-20,10,7
2023-10-21,13,9
2023-10-22,5,3
2023-10-23,2,1
2023-10-24,2,1
2023-10-25,7,6
2023-10-26,9,3
2023-10-27,1,1
2023-10-28,8,4
2023-10-29,4,3
2023-10-30,2,1
2023-10-31,2,1
2023-11-01,4,4
2023-11-02,2,2
2023-11-03,3,2
2023-11-04,7,5
2023-11-05,10,6
2023-11-06,4,2
2023-11-07,6,4
2023-11-08,4,3
2023-11-09,6,3
2023-11-10,6,4
2023-11-11,30,12
2023-11-12,15,10
2023-11-13,12,7
2023-11-14,3,2
2023-11-15,13,5
2023-11-16,21,14
2023-11-17,4,3
2023-11-18,7,5
2023-11-19,9,6
2023-11-20,5,5
2023-11-21,7,4
2023-11-22,2,2
2023-11-25,5,3
2023-11-26,10,4
2023-11-27,1,1
2023-11-28,1,1
2023-11-29,1,1
2023-11-30,4,2
2023-12-01,1,1
2023-12-02,2,1
2023-12-03,3,2
2023-12-04,8,5
2023-12-05,14,4
2023-12-06,6,4
2023-12-07,7,5
2023-12-08,6,2
2023-12-09,22,13
2023-12-10,13,7
2023-12-11,7,4
2023-12-12,2,1
2023-12-13,4,3
2023-12-14,6,4
2023-12-15,10,3
2023-12-16,3,1
2023-12-17,13,3
2023-12-18,5,4
2023-12-19,4,2
2023-12-20,2,1
2023-12-21,6,4
2023-12-22,4,1
2023-12-23,2,1
2023-12-24,5,4
2023-12-25,6,3
2023-12-26,16,6
2023-12-27,4,3
2023-12-28,7,3
2023-12-29,3,2
2023-12-30,5,3
2023-12-31,8,4
2024-01-01,8,5
2024-01-02,5,3
2024-01-04,4,2
2024-01-05,2,2
2024-01-06,20,8
2024-01-07,5,3
2024-01-08,8,5
2024-01-09,6,4
2024-01-10,8,5
2024-01-11,17,8
2024-01-12,6,4
2024-01-13,7,5
2024-01-14,6,3
2024-01-15,5,3
2024-01-16,5,3
2024-01-17,9,4
2024-01-18,9,5
2024-01-19,4,3
2024-01-21,7,4
2024-01-22,3,2
2024-01-23,1,1
2024-01-24,2,1
2024-01-25,1,1
2024-01-27,5,2
2024-01-28,4,2
2024-01-29,4,3
2024-01-30,2,1
2024-01-31,4,2
2024-02-01,4,2
2024-02-02,3,1
2024-02-03,1,1
2024-02-04,1,1
2024-02-07,3,2
2024-02-08,3,2
2024-02-09,3,2
2024-02-10,6,3
2024-02-11,4,2
2024-02-12,2,1
2024-02-13,1,1
2024-02-15,1,1
2024-02-16,2,1
2024-02-17,11,5
2024-02-18,6,3
2024-02-19,2,1
2024-02-20,3,2
2024-02-21,5,3
2024-02-22,2,1
2024-02-23,2,1
2024-02-24,3,2
2024-02-26,4,2
2024-02-27,4,3
2024-02-28,1,1
2024-03-01,7,4
2024-03-02,1,1
2024-03-08,1,1
2024-03-09,5,2
2024-03-11,2,1
2024-03-14,1,1
2024-03-15,1,1
2024-03-16,2,2
2024-03-17,1,1
2024-03-19,1,1
2024-03-20,2,2
2024-03-21,2,1
2024-03-22,7,1
2024-03-23,1,1
2024-03-24,9,4
2024-03-25,2,1
2024-03-26,1,1
2024-03-27,10,2
2024-03-28,2,2
2024-03-29,2,1
2024-03-30,1,1
2024-03-31,9,2
2024-04-02,3,1
2024-04-05,1,1
2024-04-06,6,2
2024-04-07,6,2
2024-04-09,6,2
2024-04-10,2,1
2024-04-11,1,1
2024-04-12,2,1
2024-04-14,2,1
2024-04-15,1,1
2024-04-17,7,3
2024-04-18,1,1
2024-04-19,1,1
2024-04-21,8,2
2024-04-22,2,1
2024-04-23,11,6
2024-04-24,12,5
2024-04-25,5,1
2024-04-26,3,1
2024-04-27,5,2
2024-04-28,7,4
2024-04-29,1,1
2024-04-30,14,7
2024-05-02,4,3
2024-05-04,3,2
2024-05-05,5,3
2024-05-06,8,5
2024-05-08,3,2
