event_key,total_count,session_count,avg_count_per_session,sessions_2plus_days
view_timeline_tap,1194508,166495,7.174437670800925,61986
click_question_open,816801,113699,7.183889040360953,33109
click_bottom_navigation_timeline,536051,150463,3.5626765384180827,47969
click_appbar_alarm_center,253541,140284,1.8073408229021128,18144
click_notice_detail,229358,95541,2.4006238159533604,11506
click_attendance,157737,47834,3.29759167119622,18485
click_question_share,69241,10283,6.7335407954876985,3623
click_friend_invite,3221,2118,1.5207743153918791,169
click_invite_friend,1054,653,1.6140888208269526,32
click_notice,1,1,1.0,0
