activity_date,revisit_group,user_count
2023-05-27,출석 1일,4893
2023-05-27,출석 2일 이상,57524
2023-05-28,출석 1일,8552
2023-05-28,출석 2일 이상,85668
2023-05-29,출석 1일,16205
2023-05-29,출석 2일 이상,156631
2023-05-30,출석 1일,13069
2023-05-30,출석 2일 이상,152983
2023-05-31,출석 2일 이상,111971
2023-05-31,출석 1일,3742
2023-06-01,출석 1일,2516
2023-06-01,출석 2일 이상,97518
2023-06-02,출석 1일,2860
2023-06-02,출석 2일 이상,102142
2023-06-03,출석 1일,2956
2023-06-03,출석 2일 이상,107054
2023-06-04,출석 2일 이상,94581
2023-06-04,출석 1일,2184
2023-06-05,출석 2일 이상,83110
2023-06-05,출석 1일,1535
