question_date,question_record_count,question_user_count,question_chosen_user_count,has_read_count,opened_times_sum
2023-04-28,3173,125,181,457,104
2023-04-29,11405,221,371,1645,523
2023-04-30,16220,325,762,2709,629
2023-05-01,12274,325,973,2382,508
2023-05-02,13663,413,1307,2799,637
2023-05-03,24718,756,2025,6134,1281
2023-05-04,22814,820,2093,6134,1294
2023-05-05,41509,1248,3110,16082,2857
2023-05-06,48634,1375,3756,31311,3477
2023-05-07,44662,1355,4303,26842,2762
2023-05-08,34200,1295,4356,19962,1975
2023-05-09,29392,1318,4215,17836,1736
2023-05-10,30957,1372,4340,19066,1813
2023-05-11,35934,1554,4412,23359,2242
2023-05-12,47206,1623,4233,31719,3414
2023-05-13,65254,1938,4877,43908,4598
2023-05-14,77534,2101,5396,48718,5194
2023-05-15,59391,1997,5010,35934,3901
2023-05-16,59911,2089,5446,35245,3866
2023-05-17,54153,1944,5103,30888,3397
