metric,count_bucket,user_count,ratio_pct
받은 친구 요청: 서로 다른 발신자 수,0명,12864,1.91
받은 친구 요청: 서로 다른 발신자 수,1명,16304,2.42
받은 친구 요청: 서로 다른 발신자 수,2명,16582,2.46
받은 친구 요청: 서로 다른 발신자 수,3~5명,51241,7.61
받은 친구 요청: 서로 다른 발신자 수,6~10명,81595,12.11
받은 친구 요청: 서로 다른 발신자 수,11~20명,146396,21.73
받은 친구 요청: 서로 다른 발신자 수,21~50명,274192,40.7
받은 친구 요청: 서로 다른 발신자 수,51명 이상,74531,11.06
보낸 친구 요청: 서로 다른 수신자 수,0명,24633,3.66
보낸 친구 요청: 서로 다른 수신자 수,1명,13015,1.93
보낸 친구 요청: 서로 다른 수신자 수,2명,12130,1.8
보낸 친구 요청: 서로 다른 수신자 수,3~5명,40835,6.06
보낸 친구 요청: 서로 다른 수신자 수,6~10명,82133,12.19
보낸 친구 요청: 서로 다른 수신자 수,11~20명,175054,25.98
보낸 친구 요청: 서로 다른 수신자 수,21~50명,253222,37.59
보낸 친구 요청: 서로 다른 수신자 수,51명 이상,72683,10.79
