segment_axis,candidate_exposure_bucket_d0_7,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
관계망 환경축 후보 노출 강도 구간,노출 없음,"저활동·저관계·저적체 (n=239,241)",238504,49.429,43.195,7.968,2.346,0.126,29977,19004,0.035,8237,5596,100.964,24080372,27.116,6467158,4.152,990250,228678,1.219,290636,119374,0.001,263,11,0.0,0,0,0.0,0,0,0.0,0.0,0.0,-0.025,-0.125,-0.461,1.577,1267.121,1.472,1155.675,4.33,2.435,23.909,0.0,0.0,633312,37.66
관계망 환경축 후보 노출 강도 구간,노출 없음,"저활동·고관계·고적체 (n=396,982)",394808,43.222,40.83,8.843,2.584,0.14,55364,34912,0.037,14798,10200,112.801,44534738,29.487,11641641,5.863,2314890,391605,1.853,731446,254711,0.0,15,3,0.0,0,0,0.0,0,0,0.0,0.0,0.0,-0.053,-0.125,0.176,1.586,1275.628,1.451,1141.337,5.911,2.872,5.0,0.0,0.0,633312,62.34
관계망 환경축 후보 노출 강도 구간,1-5회,"저활동·저관계·저적체 (n=239,241)",471,49.045,41.614,9.979,2.972,0.138,65,47,0.036,17,14,138.355,65165,25.79,12147,4.123,1942,457,1.166,549,232,0.231,109,4,0.017,8,8,2.335,1100,471,0.637,0.0,0.0,-0.009,-0.085,0.188,1.383,1386.489,1.214,867.643,4.249,2.366,27.25,1.0,2.335,2669,17.65
관계망 환경축 후보 노출 강도 구간,1-5회,"저활동·고관계·고적체 (n=396,982)",1291,37.026,34.392,7.126,2.711,0.112,144,92,0.037,48,35,87.302,112707,27.143,35041,5.813,7504,1286,1.781,2299,821,0.039,50,2,0.029,38,38,2.46,3176,1291,1.007,0.0,0.0,-0.042,-0.055,0.908,1.565,1225.076,1.371,1001.171,5.835,2.8,25.0,1.0,2.46,2669,48.37
관계망 환경축 후보 노출 강도 구간,1-5회,"고활동·저관계·고적체 (n=7,674)",900,39.778,36.0,7.333,2.667,0.127,114,66,0.049,44,24,133.647,120282,56.156,50540,6.102,5492,897,1.86,1674,574,0.281,253,5,1.572,1415,900,3.161,2845,900,38.556,0.111,5.111,-0.021,3.622,2.509,1.727,1822.455,1.833,2105.833,6.123,2.916,50.6,1.572,3.161,2669,33.72
관계망 환경축 후보 노출 강도 구간,1-5회,"고활동·고관계·중적체 (n=4,714)",7,42.857,42.857,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,5.286,37,7,1.714,12,6,40.143,281,7,2.286,16,7,4.429,31,7,42.857,71.429,0.0,5.968,4.636,2.143,0.0,0.0,0.0,0.0,5.286,2.0,40.143,2.286,4.429,2669,0.26
관계망 환경축 후보 노출 강도 구간,6-20회,"저활동·저관계·저적체 (n=239,241)",223,38.117,34.978,7.175,0.897,0.13,29,16,0.018,4,2,124.013,27655,25.803,5754,4.206,938,217,1.238,276,97,0.229,51,5,0.063,14,14,10.493,2340,223,0.448,0.0,0.0,0.044,0.031,0.921,1.812,1728.438,2.0,2877.0,4.323,2.845,10.2,1.0,10.493,3443,6.48
관계망 환경축 후보 노출 강도 구간,6-20회,"저활동·고관계·고적체 (n=396,982)",758,34.96,34.037,7.52,3.298,0.125,95,57,0.046,35,25,88.538,67112,30.792,23340,5.817,4409,753,1.755,1330,482,0.071,54,5,0.083,63,63,10.075,7637,758,1.319,0.0,0.396,-0.015,0.075,1.604,1.667,1177.404,1.4,933.6,5.855,2.759,10.8,1.0,10.075,3443,22.02
관계망 환경축 후보 노출 강도 구간,6-20회,"고활동·저관계·고적체 (n=7,674)",2432,37.952,34.786,7.36,3.125,0.111,269,179,0.038,92,76,91.016,221352,27.593,67105,6.911,16807,2419,2.172,5283,1704,0.026,63,2,3.884,9446,2432,12.159,29570,2432,37.993,0.123,5.674,-0.05,4.806,2.506,1.503,1236.603,1.211,882.961,6.948,3.1,31.5,3.884,12.159,3443,70.64
관계망 환경축 후보 노출 강도 구간,6-20회,"고활동·고관계·중적체 (n=4,714)",30,33.333,23.333,3.333,3.333,0.033,1,1,0.033,1,1,25.9,777,25.9,777,7.7,231,30,3.567,107,18,48.367,1451,30,3.667,110,30,12.933,388,30,30.0,50.0,3.333,5.864,4.97,2.059,1.0,777.0,1.0,777.0,7.7,5.944,48.367,3.667,12.933,3443,0.87
