segment_axis,friend_count_bucket,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
친구 수 구간,4-10명,저활동·저관계·비적체,16580,20.235,14.264,1.9,0.645,0.024,405,315,0.008,126,107,19.326,320431,5.822,96523,1.241,20569,12677,0.185,3067,2214,0.03,498,9,0.0,3,3,0.017,286,29,0.0,0.0,0.0,-0.019,-0.125,-1.014,1.286,1017.241,1.178,902.084,1.623,1.385,55.333,1.0,9.862,16717,99.18
친구 수 구간,4-10명,저활동·고관계·적체,59,30.508,22.034,6.78,0.0,0.068,4,4,0.0,0,0,52.678,3108,0.0,0,1.966,116,53,0.373,22,12,0.0,0,0,0.0,0,0,0.017,1,1,0.0,0.0,0.0,-0.054,-0.125,-0.027,1.0,777.0,0.0,0.0,2.189,1.833,0.0,0.0,1.0,16717,0.35
친구 수 구간,4-10명,고활동·저관계·적체,56,17.857,16.071,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3.339,187,50,1.0,56,19,0.339,19,2,10.268,575,56,33.679,1886,56,19.643,8.929,0.0,0.145,5.328,1.947,0.0,0.0,0.0,0.0,3.74,2.947,9.5,10.268,33.679,16717,0.33
친구 수 구간,4-10명,고활동·고관계·비적체,22,22.727,22.727,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,7.682,169,22,2.864,63,15,60.955,1341,22,8.909,196,22,40.591,893,22,22.727,63.636,0.0,5.897,6.043,1.987,0.0,0.0,0.0,0.0,7.682,4.2,60.955,8.909,40.591,16717,0.13
친구 수 구간,11-30명,저활동·저관계·비적체,97811,41.763,35.169,5.618,1.56,0.082,8031,5495,0.022,2126,1526,64.652,6323702,16.504,1614303,2.976,291128,92904,0.703,68751,36984,0.001,110,12,0.0,11,11,0.019,1861,270,0.001,0.0,0.0,-0.023,-0.125,-0.531,1.462,1150.81,1.393,1057.866,3.134,1.859,9.167,1.0,6.893,121171,80.72
친구 수 구간,11-30명,저활동·고관계·적체,21936,29.208,26.486,4.189,1.003,0.057,1253,919,0.012,269,220,43.129,946084,8.807,193198,2.915,63945,20979,0.6,13169,7662,0.002,47,4,0.0,4,4,0.03,657,87,0.0,0.0,0.0,-0.052,-0.125,0.017,1.363,1029.471,1.223,878.173,3.048,1.719,11.75,1.0,7.552,121171,18.1
친구 수 구간,11-30명,고활동·저관계·적체,816,26.348,24.02,5.025,2.451,0.092,75,41,0.032,26,20,66.982,54657,23.295,19009,5.317,4339,779,1.694,1382,420,0.188,153,4,12.371,10095,816,44.246,36105,816,26.348,2.696,4.167,-0.035,5.446,2.426,1.829,1333.098,1.3,950.45,5.57,3.29,38.25,12.371,44.246,121171,0.67
친구 수 구간,11-30명,고활동·고관계·비적체,608,37.171,33.388,6.25,1.809,0.086,52,38,0.021,13,11,60.48,36772,14.5,8816,12.556,7634,608,5.961,3624,500,109.02,66284,608,60.428,36740,608,234.474,142560,608,37.336,87.664,6.25,5.81,7.439,2.916,1.368,967.684,1.182,801.455,12.556,7.248,109.02,60.428,234.474,121171,0.5
친구 수 구간,31-70명,저활동·저관계·비적체,114284,58.432,52.408,10.122,2.986,0.163,18625,11568,0.045,5118,3413,131.176,14991287,35.273,4031146,5.275,602827,113269,1.648,188317,72236,0.001,84,3,0.0,9,9,0.019,2206,379,0.004,0.0,0.0,-0.026,-0.125,-0.332,1.61,1295.927,1.5,1181.115,5.322,2.607,28.0,1.0,5.821,345218,33.1
친구 수 구간,31-70명,저활동·고관계·적체,224442,41.662,39.154,7.898,2.188,0.121,27185,17726,0.031,6990,4910,96.571,21674491,24.087,5406215,5.246,1177493,222491,1.509,338586,135292,0.001,204,7,0.0,59,59,0.032,7182,1082,0.006,0.0,0.0,-0.053,-0.125,0.123,1.534,1222.751,1.424,1101.062,5.292,2.503,29.143,1.0,6.638,345218,65.01
