segment_axis,receiver_intensity_bucket_d0_7,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
수신 반응축 강도 구간,0회,저활동·저관계·비적체,239218,49.417,43.183,7.973,2.347,0.126,30079,19073,0.035,8263,5615,101.079,24179854,27.128,6489390,4.152,993224,229373,1.218,291485,119718,0.003,692,24,0.0,0,0,0.019,4628,714,0.0,0.0,0.0,-0.024,-0.125,-0.458,1.577,1267.753,1.472,1155.724,4.33,2.435,28.833,0.0,6.482,636091,37.61
수신 반응축 강도 구간,0회,저활동·고관계·적체,396873,43.189,40.799,8.835,2.586,0.14,55611,35064,0.038,14883,10262,112.68,44719488,29.483,11700999,5.863,2326948,393661,1.852,735104,256033,0.001,251,11,0.0,0,0,0.035,13816,2065,0.0,0.0,0.0,-0.053,-0.125,0.181,1.586,1275.368,1.45,1140.226,5.911,2.871,22.818,0.0,6.691,636091,62.39
수신 반응축 강도 구간,1회,저활동·저관계·비적체,23,21.739,21.739,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3.478,80,19,1.13,26,9,0.0,0,0,1.0,23,23,8.565,197,23,21.739,0.0,0.0,-0.054,2.323,1.05,0.0,0.0,0.0,0.0,4.211,2.889,0.0,1.0,8.565,1321,1.74
수신 반응축 강도 구간,1회,저활동·고관계·적체,109,22.936,22.936,6.422,2.752,0.064,7,7,0.028,3,3,49.899,5439,21.385,2331,6.119,667,108,1.963,214,70,0.0,0,0,1.0,109,109,8.954,976,109,22.936,0.0,2.752,-0.054,2.278,1.999,1.0,777.0,1.0,777.0,6.176,3.057,0.0,1.0,8.954,1321,8.25
수신 반응축 강도 구간,1회,고활동·저관계·적체,1178,40.577,37.182,7.895,3.311,0.139,164,93,0.053,63,39,143.385,168907,56.969,67110,6.134,7226,1168,1.86,2191,767,0.22,259,5,1.0,1178,1178,10.014,11797,1178,39.898,0.255,5.263,-0.029,3.275,2.036,1.763,1816.204,1.615,1720.769,6.187,2.857,51.8,1.0,10.014,1321,89.17
수신 반응축 강도 구간,1회,고활동·고관계·비적체,11,45.455,45.455,36.364,18.182,0.364,4,4,0.182,2,2,282.545,3108,141.273,1554,8.636,95,11,5.091,56,7,44.182,486,11,1.0,11,11,20.727,228,11,45.455,63.636,36.364,5.922,3.468,1.546,1.0,777.0,1.0,777.0,8.636,8.0,44.182,1.0,20.727,1321,0.83
수신 반응축 강도 구간,2-3회,고활동·저관계·적체,1558,35.494,32.67,6.418,2.439,0.097,151,100,0.033,51,38,78.685,122592,25.587,39864,6.663,10381,1545,2.114,3293,1075,0.033,52,2,2.445,3810,1558,15.344,23906,1558,35.045,0.321,4.942,-0.048,4.392,2.371,1.51,1225.92,1.342,1049.053,6.719,3.063,26.0,2.445,15.344,1587,98.17
수신 반응축 강도 구간,2-3회,고활동·고관계·비적체,29,37.931,34.483,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,6.966,202,29,3.069,89,21,37.103,1076,29,2.517,73,29,25.793,748,29,37.931,48.276,0.0,5.83,4.608,2.04,0.0,0.0,0.0,0.0,6.966,4.238,37.103,2.517,25.793,1587,1.83
수신 반응축 강도 구간,4-10회,고활동·저관계·적체,2224,36.736,34.577,7.014,3.058,0.108,241,156,0.041,92,68,84.939,188904,30.474,67774,7.597,16895,2213,2.485,5527,1639,0.007,16,2,6.512,14482,2224,27.996,62264,2224,36.826,0.27,6.07,-0.052,5.905,2.9,1.545,1210.923,1.353,996.676,7.634,3.372,8.0,6.512,27.996,2312,96.19
수신 반응축 강도 구간,4-10회,고활동·고관계·비적체,88,42.045,35.227,3.409,1.136,0.034,3,3,0.011,1,1,26.489,2331,8.83,777,8.807,775,88,3.773,332,62,49.92,4393,88,6.716,591,88,65.727,5784,88,43.182,70.455,3.409,5.832,6.286,2.452,1.0,777.0,1.0,777.0,8.807,5.355,49.92,6.716,65.727,2312,3.81
