segment_axis,sender_intensity_bucket_d0_7,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
발신 행동축 강도 구간,0회,"저활동·저관계·저적체 (n=239,241)",239217,49.417,43.183,7.973,2.347,0.126,30078,19072,0.035,8263,5615,101.076,24179077,27.128,6489390,4.152,993202,229368,1.218,291470,119717,0.0,0,0,0.0,23,23,0.019,4535,724,0.002,0.0,0.0,-0.025,-0.125,-0.458,1.577,1267.779,1.472,1155.724,4.33,2.435,0.0,1.0,6.264,643849,37.15
발신 행동축 강도 구간,0회,"저활동·고관계·고적체 (n=396,982)",396971,43.185,40.795,8.835,2.586,0.14,55618,35071,0.037,14886,10265,112.665,44724927,29.482,11703330,5.863,2327575,393758,1.852,735302,256099,0.0,0,0,0.0,109,109,0.037,14699,2166,0.006,0.0,0.001,-0.053,-0.125,0.181,1.586,1275.268,1.45,1140.12,5.911,2.871,0.0,1.0,6.786,643849,61.66
발신 행동축 강도 구간,0회,"고활동·저관계·고적체 (n=7,674)",7661,35.478,33.168,6.814,2.937,0.109,836,522,0.042,322,225,90.291,691716,33.678,258007,7.873,60318,7602,2.721,20843,5601,0.0,0,0,14.437,110600,7661,52.717,403863,7661,35.322,0.522,5.704,-0.054,5.657,2.857,1.602,1325.126,1.431,1146.698,7.934,3.721,0.0,14.437,52.717,643849,1.19
발신 행동축 강도 구간,1-3회,"저활동·저관계·저적체 (n=239,241)",9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.556,14,9,0.222,2,2,2.222,20,9,0.0,0,0,17.333,156,4,0.0,0.0,0.0,5.105,-0.125,0.265,0.0,0.0,0.0,0.0,1.556,1.0,2.222,0.0,39.0,67,13.43
발신 행동축 강도 구간,1-3회,"저활동·고관계·고적체 (n=396,982)",2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.0,2,2,0.0,0,0,2.5,5,2,0.0,0,0,0.0,0,0,0.0,0.0,0.0,6.137,-0.125,0.04,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,0.0,67,2.99
발신 행동축 강도 구간,1-3회,"고활동·저관계·고적체 (n=7,674)",3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3.0,9,3,0.667,2,1,1.333,4,3,36.333,109,3,348.0,1044,3,0.0,0.0,0.0,-0.054,6.325,2.82,0.0,0.0,0.0,0.0,3.0,2.0,1.333,36.333,348.0,67,4.48
발신 행동축 강도 구간,1-3회,"고활동·고관계·중적체 (n=4,714)",53,20.755,18.868,1.887,1.887,0.019,1,1,0.019,1,1,18.868,1000,18.868,1000,6.302,334,53,2.698,143,24,1.849,98,53,59.698,3164,53,271.906,14411,53,20.755,43.396,1.887,5.904,6.643,2.98,1.0,1000.0,1.0,1000.0,6.302,5.958,1.849,59.698,271.906,67,79.1
발신 행동축 강도 구간,4-10회,"저활동·저관계·저적체 (n=239,241)",5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.0,5,5,0.0,0,0,7.0,35,5,0.0,0,0,4.4,22,2,0.0,0.0,0.0,5.607,-0.125,-0.053,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,136,3.68
발신 행동축 강도 구간,4-10회,"저활동·고관계·고적체 (n=396,982)",5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.4,7,5,0.4,2,1,8.2,41,5,0.0,0,0,7.4,37,4,0.0,0.0,0.0,5.89,-0.125,1.1,0.0,0.0,0.0,0.0,1.4,2.0,8.2,0.0,9.25,136,3.68
발신 행동축 강도 구간,4-10회,"고활동·저관계·고적체 (n=7,674)",4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.25,5,4,0.0,0,0,7.75,31,4,8.5,34,4,53.5,214,4,0.0,0.0,0.0,4.435,3.896,2.3,0.0,0.0,0.0,0.0,1.25,0.0,7.75,8.5,53.5,136,2.94
발신 행동축 강도 구간,4-10회,"고활동·고관계·중적체 (n=4,714)",122,18.033,15.574,2.459,1.639,0.041,5,3,0.033,4,2,22.385,2731,16.016,1954,7.0,854,122,3.082,376,63,7.369,899,122,56.574,6902,122,249.385,30425,122,18.033,52.459,2.459,5.729,6.807,2.974,1.667,910.333,2.0,977.0,7.0,5.968,7.369,56.574,249.385,136,89.71
