segment_axis,candidate_exposure_bucket_d0_7,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
관계망 환경축 후보 노출 강도 구간,노출 없음,저활동·저관계·적체,337333,41.03,35.976,7.994,2.275,0.124,41673,26966,0.033,11030,7676,98.45,33210292,25.409,8571375,4.717,1591145,327378,1.424,480460,181006,0.0,70,5,0.0,0,0,0.0,0,0,0.0,0.0,0.0,-0.045,-0.125,-0.21,1.545,1231.562,1.437,1116.646,4.86,2.654,14.0,0.0,0.0,633312,53.26
관계망 환경축 후보 노출 강도 구간,노출 없음,저활동·고관계·비적체,295979,50.722,48.268,9.105,2.743,0.148,43668,26950,0.041,12005,8120,119.619,35404818,32.223,9537424,5.791,1713995,292905,1.83,541622,193079,0.001,208,9,0.0,0,0,0.0,0,0,0.0,0.0,0.0,-0.039,-0.125,0.103,1.62,1313.722,1.478,1174.56,5.852,2.805,23.111,0.0,0.0,633312,46.74
관계망 환경축 후보 노출 강도 구간,1-5회,저활동·저관계·적체,819,38.584,32.845,8.303,2.564,0.122,100,68,0.032,26,21,116.527,95436,25.324,20740,4.676,3830,807,1.261,1033,417,0.0,0,0,0.115,94,89,2.399,1965,819,4.029,0.0,0.122,-0.054,0.174,0.581,1.471,1403.471,1.238,987.619,4.746,2.477,0.0,1.056,2.399,2669,30.69
관계망 환경축 후보 노출 강도 구간,1-5회,저활동·고관계·비적체,1134,41.446,39.153,7.672,3.263,0.118,134,87,0.048,54,37,89.478,101468,33.566,38064,6.048,6858,1127,1.955,2217,768,0.14,159,6,0.133,151,148,2.605,2954,1134,5.115,0.0,0.882,-0.022,0.241,1.017,1.54,1166.299,1.459,1028.757,6.085,2.887,26.5,1.02,2.605,2669,42.49
관계망 환경축 후보 노출 강도 구간,1-5회,고활동·고관계·적체,716,39.665,35.475,6.983,2.095,0.124,89,50,0.041,29,15,141.411,101250,54.363,38924,5.987,4287,713,1.793,1284,448,0.746,534,12,1.721,1232,716,3.119,2233,716,38.408,0.838,4.888,0.046,3.861,2.66,1.78,2025.0,1.933,2594.933,6.013,2.866,44.5,1.721,3.119,2669,26.83
관계망 환경축 후보 노출 강도 구간,6-20회,저활동·저관계·적체,445,31.91,29.438,8.764,2.472,0.151,67,39,0.04,18,11,135.564,60326,37.288,16593,5.085,2263,438,1.47,654,246,0.049,22,3,0.29,129,112,10.207,4542,445,7.416,0.0,0.674,-0.026,0.583,1.268,1.718,1546.821,1.636,1508.455,5.167,2.659,7.333,1.152,10.207,3443,12.92
관계망 환경축 후보 노출 강도 구간,6-20회,저활동·고관계·비적체,783,39.208,38.314,7.535,3.065,0.132,103,59,0.04,31,24,100.241,78489,26.291,20586,6.086,4765,777,1.913,1498,506,0.106,83,7,0.3,235,212,10.215,7998,783,9.706,0.0,1.277,-0.004,0.643,1.675,1.746,1330.322,1.292,857.75,6.133,2.96,11.857,1.108,10.215,3443,22.74
관계망 환경축 후보 노출 강도 구간,6-20회,고활동·고관계·적체,2215,37.652,34.221,6.998,3.115,0.101,224,155,0.037,83,69,80.398,178081,26.996,59797,6.933,15357,2204,2.187,4844,1549,0.684,1514,32,4.185,9269,2215,12.368,27395,2215,37.698,0.813,5.824,0.03,5.028,2.574,1.445,1148.91,1.203,866.623,6.968,3.127,47.312,4.185,12.368,3443,64.33
관계망 환경축 후보 노출 강도 구간,21회 이상,저활동·저관계·적체,61,34.426,31.148,9.836,1.639,0.098,6,6,0.016,1,1,76.426,4662,12.738,777,5.459,333,58,1.607,98,37,0.0,0,0,0.246,15,14,30.279,1847,61,9.836,0.0,0.0,-0.054,0.488,1.716,1.0,777.0,1.0,777.0,5.741,2.649,0.0,1.071,30.279,9187,0.66
관계망 환경축 후보 노출 강도 구간,21회 이상,저활동·고관계·비적체,152,30.263,28.947,7.237,4.605,0.118,18,11,0.059,9,7,86.493,13147,45.145,6862,6.257,951,150,1.947,296,104,2.638,401,5,0.303,46,40,33.197,5046,152,5.263,0.0,0.0,0.146,0.567,2.188,1.636,1195.182,1.286,980.286,6.34,2.846,80.2,1.15,33.197,9187,1.65
