segment_axis,friend_count_bucket,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
친구 수 구간,4-10명,저활동·저관계·적체,13698,19.054,13.155,1.869,0.694,0.024,330,256,0.008,113,95,18.858,258319,6.277,85976,1.233,16892,10519,0.185,2537,1827,0.005,71,4,0.0,3,3,0.014,191,23,0.0,0.0,0.0,-0.036,-0.125,-1.126,1.289,1009.059,1.189,905.011,1.606,1.389,17.75,1.0,8.304,16717,81.94
친구 수 구간,4-10명,저활동·고관계·비적체,2941,25.944,19.585,2.142,0.408,0.027,79,63,0.004,13,12,22.176,65220,3.586,10547,1.29,3793,2211,0.188,552,399,0.145,427,5,0.0,0,0,0.033,96,7,0.0,0.0,0.0,0.056,-0.125,-0.471,1.254,1035.238,1.083,878.917,1.716,1.383,85.4,0.0,13.714,16717,17.59
친구 수 구간,4-10명,고활동·고관계·적체,78,19.231,17.949,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,4.564,356,72,1.526,119,34,17.436,1360,24,9.885,771,78,35.628,2779,78,20.513,24.359,0.0,1.767,5.529,1.958,0.0,0.0,0.0,0.0,4.944,3.5,56.667,9.885,35.628,16717,0.47
친구 수 구간,11-30명,저활동·저관계·적체,78251,36.161,29.459,5.053,1.398,0.071,5584,3954,0.019,1517,1094,54.845,4291657,14.433,1129431,2.878,225176,73758,0.671,52492,27869,0.0,21,4,0.001,43,38,0.019,1456,241,0.01,0.0,0.0,-0.039,-0.124,-0.563,1.412,1085.396,1.387,1032.387,3.053,1.884,5.25,1.132,6.041,121171,64.58
친구 수 구간,11-30명,저활동·고관계·비적체,41556,45.668,41.327,5.927,1.569,0.089,3705,2463,0.021,878,652,71.731,2980860,16.317,678070,3.131,130108,40182,0.709,29477,16798,0.003,136,12,0.001,41,37,0.042,1738,176,0.024,0.0,0.0,-0.01,-0.123,-0.177,1.504,1210.256,1.347,1039.985,3.238,1.755,11.333,1.108,9.875,121171,34.3
친구 수 구간,11-30명,고활동·고관계·적체,1364,31.012,28.006,5.572,2.273,0.089,122,76,0.029,39,31,65.028,88698,20.4,27825,8.623,11762,1330,3.634,4957,899,48.707,66437,612,34.286,46766,1364,130.49,177989,1364,31.158,40.689,5.279,2.571,6.451,2.685,1.605,1167.079,1.258,897.581,8.844,5.514,108.557,34.286,130.49,121171,1.13
친구 수 구간,31-70명,저활동·저관계·적체,179043,43.263,38.426,8.505,2.356,0.131,23447,15228,0.034,6031,4218,104.065,18632092,25.966,4649023,4.983,892137,176916,1.466,262415,103261,0.0,0,0,0.001,132,120,0.024,4238,689,0.022,0.0,0.002,-0.046,-0.124,-0.123,1.54,1223.542,1.43,1102.187,5.043,2.541,0.0,1.1,6.151,345218,51.86
친구 수 구간,31-70명,저활동·고관계·비적체,159936,51.853,49.44,8.81,2.572,0.14,22408,14091,0.038,6089,4114,113.006,18073734,29.996,4797400,5.563,889783,159096,1.657,264978,104448,0.002,288,10,0.001,213,201,0.047,7517,1025,0.051,0.0,0.006,-0.041,-0.122,0.076,1.59,1282.644,1.48,1166.116,5.593,2.537,28.8,1.06,7.334,345218,46.33
친구 수 구간,31-70명,고활동·고관계·적체,6239,37.298,34.877,6.924,2.324,0.106,661,432,0.03,190,145,88.11,549717,25.925,161748,10.638,66372,6224,4.663,29095,4980,76.903,479799,2582,64.949,405218,6239,244.246,1523850,6239,37.218,39.75,6.267,2.368,6.592,3.034,1.53,1272.493,1.31,1115.503,10.664,5.842,185.825,64.949,244.246,345218,1.81
친구 수 구간,71-150명,저활동·저관계·적체,65332,45.038,41.487,11.203,3.361,0.183,11945,7319,0.05,3235,2196,149.379,9759224,40.074,2618095,6.796,444019,65154,2.398,156647,46925,0.0,0,0,0.001,57,51,0.036,2328,348,0.037,0.0,0.002,-0.052,-0.123,0.169,1.632,1333.409,1.473,1192.211,6.815,3.338,0.0,1.118,6.69,158416,41.24
친구 수 구간,71-150명,저활동·고관계·비적체,89127,51.56,50.002,11.181,3.623,0.188,16764,9965,0.054,4835,3229,153.329,13665746,43.723,3896916,7.438,662889,88982,2.625,233959,69015,0.0,0,0,0.002,162,148,0.068,6094,788,0.053,0.0,0.009,-0.052,-0.121,0.309,1.682,1371.374,1.497,1206.849,7.45,3.39,0.0,1.095,7.734,158416,56.26
