segment_axis,segment_column,segment_value,top_cluster_label,top_cluster_share_within_segment_pct,top_cluster_user_count,retention_d1_28_rate,payment_d0_28_rate,active_days_d0_28_mean,interpretation
발신 행동축 강도 구간,sender_intensity_bucket_d0_7,0회,"저활동·저관계·중적체 (n=338,658)",52.6,338650,41.012,7.996,4.717,"발신 행동축 강도 구간 '0회' 구간에서는 저활동·저관계·중적체 (n=338,658) 비중이 52.60%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 41.01%, D0-D28 결제율은 8.00%, D0-D28 평균 활동일수는 4.72일입니다."
발신 행동축 강도 구간,sender_intensity_bucket_d0_7,1-3회,"고활동·고관계·고적체 (n=11,905)",83.58,56,19.643,1.786,6.125,"발신 행동축 강도 구간 '1-3회' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 83.58%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 19.64%, D0-D28 결제율은 1.79%, D0-D28 평균 활동일수는 6.12일입니다."
발신 행동축 강도 구간,sender_intensity_bucket_d0_7,4-10회,"고활동·고관계·고적체 (n=11,905)",92.65,126,17.46,2.381,6.817,"발신 행동축 강도 구간 '4-10회' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 92.65%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 17.46%, D0-D28 결제율은 2.38%, D0-D28 평균 활동일수는 6.82일입니다."
발신 행동축 강도 구간,sender_intensity_bucket_d0_7,11-50회,"고활동·고관계·고적체 (n=11,905)",98.32,584,23.63,4.795,11.44,"발신 행동축 강도 구간 '11-50회' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 98.32%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 23.63%, D0-D28 결제율은 4.79%, D0-D28 평균 활동일수는 11.44일입니다."
발신 행동축 강도 구간,sender_intensity_bucket_d0_7,51회 이상,"고활동·고관계·고적체 (n=11,905)",99.9,3961,39.561,8.634,16.064,"발신 행동축 강도 구간 '51회 이상' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 99.90%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 39.56%, D0-D28 결제율은 8.63%, D0-D28 평균 활동일수는 16.06일입니다."
수신 반응축 강도 구간,receiver_intensity_bucket_d0_7,0회,"저활동·저관계·중적체 (n=338,658)",53.21,338443,41.015,7.996,4.717,"수신 반응축 강도 구간 '0회' 구간에서는 저활동·저관계·중적체 (n=338,658) 비중이 53.21%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 41.02%, D0-D28 결제율은 8.00%, D0-D28 평균 활동일수는 4.72일입니다."
수신 반응축 강도 구간,receiver_intensity_bucket_d0_7,1회,"고활동·고관계·고적체 (n=11,905)",57.38,758,39.182,7.652,5.797,"수신 반응축 강도 구간 '1회' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 57.38%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 39.18%, D0-D28 결제율은 7.65%, D0-D28 평균 활동일수는 5.80일입니다."
수신 반응축 강도 구간,receiver_intensity_bucket_d0_7,2-3회,"고활동·고관계·고적체 (n=11,905)",96.72,1535,36.678,6.319,6.703,"수신 반응축 강도 구간 '2-3회' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 96.72%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 36.68%, D0-D28 결제율은 6.32%, D0-D28 평균 활동일수는 6.70일입니다."
수신 반응축 강도 구간,receiver_intensity_bucket_d0_7,4-10회,"고활동·고관계·고적체 (n=11,905)",100.0,2312,36.938,6.877,7.643,"수신 반응축 강도 구간 '4-10회' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 100.00%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 36.94%, D0-D28 결제율은 6.88%, D0-D28 평균 활동일수는 7.64일입니다."
수신 반응축 강도 구간,receiver_intensity_bucket_d0_7,11회 이상,"고활동·고관계·고적체 (n=11,905)",100.0,7300,35.0,7.397,13.186,"수신 반응축 강도 구간 '11회 이상' 구간에서는 고활동·고관계·고적체 (n=11,905) 비중이 100.00%로 가장 큽니다. 이 구간의 해당 군집 D1-D28 재방문율은 35.00%, D0-D28 결제율은 7.40%, D0-D28 평균 활동일수는 13.19일입니다."
