segment_axis,sender_intensity_bucket_d0_7,cluster_label,user_count,retention_d1_28_rate,retention_d8_28_rate,payment_d0_28_rate,payment_d8_28_rate,payment_d0_28_count_mean,payment_d0_28_count_sum,payment_d0_28_paid_user_count,payment_d8_28_count_mean,payment_d8_28_count_sum,payment_d8_28_paid_user_count,payment_d0_28_amount_mean,payment_d0_28_amount_sum,payment_d8_28_amount_mean,payment_d8_28_amount_sum,active_days_d0_28_mean,active_days_d0_28_sum,active_days_d0_28_active_user_count,active_days_d8_28_mean,active_days_d8_28_sum,active_days_d8_28_active_user_count,sent_vote_count_d0_7_mean,sent_vote_count_d0_7_sum,sent_vote_user_count_d0_7,received_vote_count_d0_7_mean,received_vote_count_d0_7_sum,received_vote_user_count_d0_7,candidate_exposure_count_d0_7_mean,candidate_exposure_count_d0_7_sum,candidate_exposed_user_count_d0_7,attendance_after_received_vote_rate,point_use_after_received_vote_rate,payment_after_received_vote_rate,sender_axis_score_mean,receiver_axis_score_mean,network_axis_score_mean,payment_d0_28_count_paid_user_mean,payment_d0_28_amount_paid_user_mean,payment_d8_28_count_paid_user_mean,payment_d8_28_amount_paid_user_mean,active_days_d0_28_active_user_mean,active_days_d8_28_active_user_mean,sent_vote_count_d0_7_sender_mean,received_vote_count_d0_7_receiver_mean,candidate_exposure_count_d0_7_exposed_user_mean,segment_user_count,cluster_share_within_segment_pct
발신 행동축 강도 구간,0회,저활동·저관계·적체,338650,41.012,35.96,7.996,2.276,0.124,41846,27079,0.033,11075,7709,98.54,33370716,25.423,8609485,4.717,1597558,328673,1.424,482244,181705,0.0,0,0,0.001,238,215,0.025,8332,1322,0.021,0.0,0.001,-0.046,-0.124,-0.206,1.545,1232.347,1.437,1116.81,4.861,2.654,0.0,1.107,6.303,643849,52.6
발신 행동축 강도 구간,0회,저활동·고관계·비적체,298021,50.649,48.201,9.095,2.747,0.147,43922,27106,0.041,12099,8188,119.445,35597145,32.222,9602936,5.793,1726440,294932,1.831,545577,194444,0.0,0,0,0.001,432,400,0.052,15637,2051,0.048,0.0,0.007,-0.04,-0.122,0.111,1.62,1313.257,1.478,1172.806,5.854,2.806,0.0,1.08,7.624,643849,46.29
발신 행동축 강도 구간,0회,고활동·고관계·적체,7178,35.261,32.906,6.687,2.898,0.106,764,480,0.041,297,208,87.47,627859,33.199,238306,7.954,57097,7123,2.758,19794,5268,0.0,0,0,15.333,110062,7178,55.604,399128,7178,35.135,0.557,5.795,-0.054,5.851,2.92,1.592,1308.04,1.428,1145.702,8.016,3.757,0.0,15.333,55.604,643849,1.11
발신 행동축 강도 구간,1-3회,저활동·저관계·적체,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.0,3,3,0.0,0,0,2.0,6,3,0.0,0,0,2.667,8,1,0.0,0.0,0.0,4.074,-0.125,-0.54,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,67,4.48
발신 행동축 강도 구간,1-3회,저활동·고관계·비적체,8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.625,13,8,0.25,2,2,2.375,19,8,0.0,0,0,18.5,148,3,0.0,0.0,0.0,5.75,-0.125,0.511,0.0,0.0,0.0,0.0,1.625,1.0,2.375,0.0,49.333,67,11.94
발신 행동축 강도 구간,1-3회,고활동·고관계·적체,56,19.643,17.857,1.786,1.786,0.018,1,1,0.018,1,1,17.857,1000,17.857,1000,6.125,343,56,2.589,145,25,1.821,102,56,58.446,3273,56,275.982,15455,56,19.643,41.071,1.786,5.585,6.626,2.972,1.0,1000.0,1.0,1000.0,6.125,5.8,1.821,58.446,275.982,67,83.58
발신 행동축 강도 구간,4-10회,저활동·저관계·적체,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.0,3,3,0.0,0,0,8.0,24,3,0.0,0,0,2.0,6,1,0.0,0.0,0.0,6.137,-0.125,-0.48,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,6.0,136,2.21
발신 행동축 강도 구간,4-10회,저활동·고관계·비적체,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1.286,9,7,0.286,2,1,7.429,52,7,0.0,0,0,7.571,53,5,0.0,0.0,0.0,5.581,-0.125,0.954,0.0,0.0,0.0,0.0,1.286,2.0,7.429,0.0,10.6,136,5.15
발신 행동축 강도 구간,4-10회,고활동·고관계·적체,126,17.46,15.079,2.381,1.587,0.04,5,3,0.032,4,2,21.675,2731,15.508,1954,6.817,859,126,2.984,376,63,7.381,930,126,55.048,6936,126,243.167,30639,126,17.46,50.794,2.381,5.688,6.714,2.952,1.667,910.333,2.0,977.0,6.817,5.968,7.381,55.048,243.167,136,92.65
발신 행동축 강도 구간,11-50회,저활동·저관계·적체,2,50.0,50.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3.5,7,2,0.5,1,1,31.0,62,2,0.0,0,0,4.0,8,1,0.0,0.0,0.0,6.008,-0.125,-0.686,0.0,0.0,0.0,0.0,3.5,1.0,31.0,0.0,8.0,594,0.34
